"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Cowboy","%5ENSEI","2019-01-15T11:30:00+0530",10855.05,10963.6005,10746.4995,1,"2019-01-15T15:15:00+0530","10896.05",-1,41,92,103772,225
"2","Cowboy","%5ENSEI","2019-01-17T09:15:00+0530",10909.05,11018.1405,10799.9595,1,"2019-01-17T15:15:00+0530","10906.55",-1,-2.5,95,103534.5,360
"3","Cowboy","%5ENSEI","2019-01-21T09:30:00+0530",10953.1,11062.631,10843.569,1,"2019-01-21T15:15:00+0530","10965.4",-1,12.3,95,104703,345
"4","Cowboy","%5ENSEI","2019-01-31T09:15:00+0530",10700.25,10807.2525,10593.2475,1,"2019-01-31T13:30:00+0530","10812.65",-1,112.4,98,115718.2,255
"5","Cowboy","%5ENSEI","2019-02-06T09:15:00+0530",11010.25,11120.3525,10900.1475,1,"2019-02-06T15:15:00+0530","11072.05",-1,61.8,105,122207.2,360
"6","Cowboy","%5ENSEI","2019-02-21T09:15:00+0530",10740.8,10848.208,10633.392,1,"2019-02-21T15:15:00+0530","10795.8",-1,55,114,128477.2,360
"7","Cowboy","%5ENSEI","2019-02-25T09:15:00+0530",10811.3,10919.413,10703.187,1,"2019-02-25T15:15:00+0530","10886.35",-1,75.05,119,137408.15,360
"8","Cowboy","%5ENSEI","2019-02-27T09:15:00+0530",10905.55,11014.6055,10796.4945,1,"2019-02-27T12:00:00+0530","10751.95",-1,-153.6,126,118054.55,165
"9","Cowboy","%5ENSEI","2019-03-05T10:15:00+0530",10872.75,10981.4775,10764.0225,1,"2019-03-05T14:45:00+0530","10984.6",-1,111.85,109,130246.2,270
"10","Cowboy","%5ENSEI","2019-03-11T09:15:00+0530",11109,11220.09,10997.91,1,"2019-03-11T15:15:00+0530","11180",-1,71,117,138553.2,360
"11","Cowboy","%5ENSEI","2019-03-14T09:15:00+0530",11382.15,11495.9715,11268.3285,1,"2019-03-14T15:15:00+0530","11349.6",-1,-32.55,122,134582.1,360
"12","Cowboy","%5ENSEI","2019-03-15T09:15:00+0530",11404.3,11518.343,11290.257,1,"2019-03-15T15:15:00+0530","11434.3",-1,30,118,138122.1,360
"13","Cowboy","%5ENSEI","2019-03-19T13:45:00+0530",11501,11616.01,11385.99,1,"2019-03-19T15:15:00+0530","11543.6",-1,42.6,120,143234.1,90
"14","Cowboy","%5ENSEI","2019-03-20T09:30:00+0530",11532.1,11647.421,11416.779,1,"2019-03-20T15:15:00+0530","11524.7",-1,-7.4,124,142316.5,345
"15","Cowboy","%5ENSEI","2019-03-22T09:30:00+0530",11564.2,11679.842,11448.558,1,"2019-03-22T14:15:00+0530","11445.05",-1,-119.15,123,127661.05,285
"16","Cowboy","%5ENSEI","2019-03-22T14:45:00+0530",11447.15,11332.6785,11561.6215,-1,"2019-03-22T15:15:00+0530","11454.45",1,-7.3,112,126843.45,30
"17","Cowboy","%5ENSEI","2019-03-28T09:45:00+0530",11514.6,11629.746,11399.454,1,"2019-03-28T15:15:00+0530","11587.5",-1,72.9,110,134862.45,330
"18","Cowboy","%5ENSEI","2019-03-29T09:15:00+0530",11610.5,11726.605,11494.395,1,"2019-03-29T15:15:00+0530","11630.1",-1,19.6,116,137136.05,360
"19","Cowboy","%5ENSEI","2019-04-01T09:15:00+0530",11691.55,11808.4655,11574.6345,1,"2019-04-01T15:15:00+0530","11670.2",-1,-21.35,117,134638.1,360
"20","Cowboy","%5ENSEI","2019-04-03T09:15:00+0530",11744,11861.44,11626.56,1,"2019-04-03T15:15:00+0530","11645.6",-1,-98.4,115,123322.1,360
"21","Cowboy","%5ENSEI","2019-04-03T15:00:00+0530",11641.15,11524.7385,11757.5615,-1,"2019-04-03T15:15:00+0530","11629.7",1,11.45,106,124535.8,15
"22","Cowboy","%5ENSEI","2019-04-08T09:15:00+0530",11684.8,11801.648,11567.952,1,"2019-04-08T14:15:00+0530","11555.05",-1,-129.75,107,110652.55,300
"23","Cowboy","%5ENSEI","2019-04-15T09:15:00+0530",11666.95,11783.6195,11550.2805,1,"2019-04-15T15:15:00+0530","11691.95",-1,25,95,113027.55,360
"24","Cowboy","%5ENSEI","2019-04-16T09:15:00+0530",11748,11865.48,11630.52,1,"2019-04-16T15:15:00+0530","11797.95",-1,49.95,96,117822.75,360
"25","Cowboy","%5ENSEI","2019-04-26T15:00:00+0530",11754.95,11872.4995,11637.4005,1,"2019-04-26T15:15:00+0530","11757.95",-1,3,100,118122.75,15
"26","Cowboy","%5ENSEI","2019-05-02T10:00:00+0530",11776.3,11894.063,11658.537,1,"2019-05-02T15:15:00+0530","11727.2",-1,-49.1,100,113212.75,315
"27","Cowboy","%5ENSEI","2019-05-03T10:15:00+0530",11763.8,11881.438,11646.162,1,"2019-05-03T15:15:00+0530","11719.05",-1,-44.75,96,108916.75,300
"28","Cowboy","%5ENSEI","2019-05-17T09:15:00+0530",11296.35,11409.3135,11183.3865,1,"2019-05-17T15:00:00+0530","11415.15",-1,118.8,96,120321.55,345
"29","Cowboy","%5ENSEI","2019-05-30T13:30:00+0530",11964.55,12084.1955,11844.9045,1,"2019-05-30T15:15:00+0530","11949.85",-1,-14.7,101,118836.85,105
"30","Cowboy","%5ENSEI","2019-05-31T09:15:00+0530",12029.35,12149.6435,11909.0565,1,"2019-05-31T12:00:00+0530","11832.15",-1,-197.2,99,99314.05,165
"31","Cowboy","%5ENSEI","2019-06-27T09:15:00+0530",11877.9,11996.679,11759.121,1,"2019-06-27T15:15:00+0530","11848.45",-1,-29.45,84,96840.25,360
"32","Cowboy","%5ENSEI","2019-07-02T13:15:00+0530",11872,11990.72,11753.28,1,"2019-07-02T15:15:00+0530","11916.05",-1,44.05,82,100452.35,120
"33","Cowboy","%5ENSEI","2019-07-03T09:15:00+0530",11921.45,12040.6645,11802.2355,1,"2019-07-03T15:15:00+0530","11921.2",-1,-0.25,84,100431.35,360
"34","Cowboy","%5ENSEI","2019-07-04T09:15:00+0530",11941.75,12061.1675,11822.3325,1,"2019-07-04T15:15:00+0530","11949.25",-1,7.5,84,101061.35,360
"35","Cowboy","%5ENSEI","2019-07-05T09:15:00+0530",11980,12099.8,11860.2,1,"2019-07-05T13:00:00+0530","11836.85",-1,-143.15,84,89036.75,225
"36","Cowboy","%5ENSEI","2019-07-05T13:00:00+0530",11855.5,11736.945,11974.055,-1,"2019-07-05T15:15:00+0530","11798.5",1,57,75,93311.75,135
"37","Cowboy","%5ENSEI","2019-07-11T13:30:00+0530",11588.4,11704.284,11472.516,1,"2019-07-11T15:15:00+0530","11588.15",-1,-0.25,81,93291.5,105
"38","Cowboy","%5ENSEI","2019-07-12T13:00:00+0530",11616,11732.16,11499.84,1,"2019-07-12T15:15:00+0530","11560.15",-1,-55.85,80,88823.5,135
"39","Cowboy","%5ENSEI","2019-07-16T14:00:00+0530",11659.5,11776.095,11542.905,1,"2019-07-16T15:15:00+0530","11668",-1,8.5,76,89469.5,75
