"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Cowboy","%5ENSEBANK","2021-01-04 09:15:00+05:30",31434.7,31749.047,31120.353,1,"2021-01-04 11:00:00+05:30","31004.25",-1,-430.45,32,86225.6,105
"2","Cowboy","%5ENSEBANK","2021-01-04 11:00:00+05:30",31032.4,30722.076,31342.724,-1,"2021-01-04 15:15:00+05:30","31181.55",1,-149.15,28,82049.4,255
"3","Cowboy","%5ENSEBANK","2021-01-05 12:30:00+05:30",31398.35,31712.3335,31084.3665,1,"2021-01-05 14:30:00+05:30","31745.15",-1,346.8,26,91066.2,120
"4","Cowboy","%5ENSEBANK","2021-01-12 12:40:00+05:30",32313.3,32636.433,31990.167,1,"2021-01-12 15:15:00+05:30","32351.85",-1,38.55,28,92145.6,155
"5","Cowboy","%5ENSEBANK","2021-01-13 09:15:00+05:30",32507.05,32832.1205,32181.9795,1,"2021-01-13 14:00:00+05:30","32155.1",-1,-351.95,28,82291,285
"6","Cowboy","%5ENSEBANK","2021-01-20 09:20:00+05:30",32485.75,32810.6075,32160.8925,1,"2021-01-20 15:15:00+05:30","32553.3",-1,67.55,25,83979.75,355
"7","Cowboy","%5ENSEBANK","2021-01-21 09:15:00+05:30",32712.6,33039.726,32385.474,1,"2021-01-21 14:45:00+05:30","32349.1",-1,-363.5,26,74528.75,330
"8","Cowboy","%5ENSEBANK","2021-03-03 09:15:00+05:30",35741.8,36099.218,35384.382,1,"2021-03-03 12:15:00+05:30","36107.9",-1,366.1,21,82216.85,180
"9","Cowboy","%5ENSEBANK","2021-03-12 09:15:00+05:30",36412,36776.12,36047.88,1,"2021-03-12 12:20:00+05:30","36012.65",-1,-399.35,23,73031.8,185
"10","Cowboy","%5ENSEBANK","2021-03-30 09:15:00+05:30",33643.65,33980.0865,33307.2135,1,"2021-03-30 14:15:00+05:30","33990.1",-1,346.45,22,80653.7,300
"11","Cowboy","%5ENSEBANK","2021-04-23 10:10:00+05:30",31829.45,32147.7445,31511.1555,1,"2021-04-23 15:15:00+05:30","31759.6",-1,-69.85,25,78907.45,305
"12","Cowboy","%5ENSEBANK","2021-05-07 09:15:00+05:30",33163.25,33494.8825,32831.6175,1,"2021-05-07 12:15:00+05:30","32829.65",-1,-333.6,24,70901.05,180
"13","Cowboy","%5ENSEBANK","2021-05-17 10:00:00+05:30",32799.75,33127.7475,32471.7525,1,"2021-05-17 12:10:00+05:30","33136.2",-1,336.45,22,78302.95,130
"14","Cowboy","%5ENSEBANK","2021-05-21 09:55:00+05:30",33960.5,34300.105,33620.895,1,"2021-05-21 14:20:00+05:30","34309.25",-1,348.75,23,86324.2,265
"15","Cowboy","%5ENSEBANK","2021-06-01 09:15:00+05:30",35542.55,35897.9755,35187.1245,1,"2021-06-01 15:15:00+05:30","35354.95",-1,-187.6,24,81821.8,360
"16","Cowboy","%5ENSEBANK","2021-06-22 09:15:00+05:30",35138.1,35489.481,34786.719,1,"2021-06-22 14:50:00+05:30","34781.95",-1,-356.15,23,73630.35,335
"17","Cowboy","%5ENSEBANK","2021-06-25 09:15:00+05:30",35028.6,35378.886,34678.314,1,"2021-06-25 13:45:00+05:30","35386.9",-1,358.3,21,81154.65,270
"18","Cowboy","%5ENSEBANK","2021-07-05 09:15:00+05:30",35003.75,35353.7875,34653.7125,1,"2021-07-05 15:15:00+05:30","35230.45",-1,226.7,23,86368.75,360
