"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Cowboy","%5ENSEI","2021-01-01T09:15:00+0530",14015.45,14155.6045,13805.21825,1,"2021-01-01T15:15:00+0530","14016.15",-1,0.7,57,100039.9,360
"2","Cowboy","%5ENSEI","2021-01-04T09:15:00+0530",14092.35,14233.2735,13880.96475,1,"2021-01-04T15:15:00+0530","14130.45",-1,38.1,57,102211.6,360
"3","Cowboy","%5ENSEI","2021-01-06T09:15:00+0530",14229.65,14371.9465,14016.20525,1,"2021-01-06T15:15:00+0530","14157.9",-1,-71.75,57,98121.85,360
"4","Cowboy","%5ENSEI","2021-01-07T09:15:00+0530",14234.75,14377.0975,14021.22875,1,"2021-01-07T15:15:00+0530","14137.8",-1,-96.95,55,92789.6,360
"5","Cowboy","%5ENSEI","2021-01-08T09:25:00+0530",14246,14388.46,14032.31,1,"2021-01-08T15:15:00+0530","14358.5",-1,112.5,52,98639.6,350
"6","Cowboy","%5ENSEI","2021-01-14T13:35:00+0530",14592.6,14738.526,14373.711,1,"2021-01-14T15:15:00+0530","14595.85",-1,3.25,54,98815.1,100
"7","Cowboy","%5ENSEI","2021-02-01T11:45:00+0530",13899.7,14038.697,13691.2045,1,"2021-02-01T12:55:00+0530","14094.1",-1,194.4,57,109895.9,70
"8","Cowboy","%5ENSEI","2021-02-05T09:15:00+0530",14986.9,15136.769,14762.0965,1,"2021-02-05T15:15:00+0530","14937.4",-1,-49.5,59,106975.4,360
"9","Cowboy","%5ENSEI","2021-02-12T09:15:00+0530",15217.1,15369.271,14988.8435,1,"2021-02-12T15:15:00+0530","15175.95",-1,-41.15,56,104671,360
"10","Cowboy","%5ENSEI","2021-02-15T09:15:00+0530",15294.9,15447.849,15065.4765,1,"2021-02-15T15:15:00+0530","15320.5",-1,25.6,55,106079,360
