date,open,high,low,close,volume,Name,
16/02/21 9:29,121.79,121.8,121.79,121.8,492,IBM,
16/02/21 9:34,121.8,121.8,121.8,121.8,308,IBM,
16/02/21 10:19,121.95,121.95,121.95,121.95,200,IBM,
16/02/21 11:54,122.02,122.02,122.02,122.02,178,IBM,
16/02/21 11:59,122.02,122.02,121.13,121.61,4048,IBM,
16/02/21 12:14,121.67,121.67,121.65,121.65,321,IBM,
16/02/21 12:19,121.64,121.65,121.64,121.65,411,IBM,
16/02/21 12:54,121.41,121.41,121.41,121.41,118,IBM,
16/02/21 12:59,121.65,121.65,121.4,121.61,1845,IBM,
16/02/21 13:24,121.74,121.75,121.74,121.75,845,IBM,
16/02/21 13:34,121.38,121.38,121.38,121.38,209,IBM,
16/02/21 13:59,121.3,121.31,121.2,121.2,1113,IBM,
16/02/21 14:04,121.25,121.25,121.25,121.25,124,IBM,
16/02/21 14:09,121.09,121.09,121.09,121.09,671,IBM,
16/02/21 14:14,121.05,121.05,121.05,121.05,861,IBM,
16/02/21 14:19,121.05,121.06,121.05,121.06,1503,IBM,
16/02/21 14:24,121,121,120.81,120.81,2117,IBM,
16/02/21 14:29,120.7,120.8,119.7,120.04,623247,IBM,
16/02/21 14:34,120.12,120.5,120,120.15,77397,IBM,
16/02/21 14:39,120.12,120.2418,119.7801,119.88,158962,IBM,
16/02/21 14:44,119.9,119.9,119.72,119.86,218147,IBM,
16/02/21 14:49,119.86,119.88,119.655,119.85,108572,IBM,
16/02/21 14:54,119.85,119.9,119.69,119.72,114573,IBM,
16/02/21 14:59,119.72,119.75,119.59,119.62,89486,IBM,
16/02/21 15:04,119.6353,119.68,119.48,119.585,161245,IBM,
16/02/21 15:09,119.6,119.75,119.5,119.6945,71168,IBM,
16/02/21 15:14,119.69,119.74,119.38,119.5099,100431,IBM,
16/02/21 15:19,119.4756,119.6,119.36,119.575,95383,IBM,
16/02/21 15:24,119.575,119.68,119.47,119.59,91205,IBM,
16/02/21 15:29,119.605,119.75,119.57,119.725,100475,IBM,
16/02/21 15:34,119.71,120.015,119.62,119.98,156162,IBM,
16/02/21 15:39,120,120,119.61,119.62,85060,IBM,
16/02/21 15:44,119.62,119.89,119.58,119.8,61649,IBM,
16/02/21 15:49,119.79,119.8,119.43,119.44,95851,IBM,
16/02/21 15:54,119.46,119.8,119.44,119.75,68721,IBM,
16/02/21 15:59,119.76,119.87,119.74,119.83,64890,IBM,
16/02/21 16:04,119.84,119.84,119.52,119.579,62629,IBM,
16/02/21 16:09,119.57,119.73,119.52,119.53,45941,IBM,
16/02/21 16:14,119.56,119.76,119.55,119.72,41265,IBM,
16/02/21 16:19,119.74,119.75,119.63,119.7084,44836,IBM,
16/02/21 16:24,119.7,119.72,119.57,119.57,45793,IBM,
16/02/21 16:29,119.57,119.71,119.56,119.61,37180,IBM,
16/02/21 16:34,119.64,119.76,119.59,119.68,57351,IBM,
16/02/21 16:39,119.71,119.75,119.68,119.74,41274,IBM,
16/02/21 16:44,119.75,119.86,119.71,119.78,40035,IBM,
16/02/21 16:49,119.78,119.88,119.7162,119.85,36541,IBM,
16/02/21 16:54,119.85,119.88,119.72,119.8041,61255,IBM,
16/02/21 16:59,119.8,119.81,119.6145,119.78,42698,IBM,
16/02/21 17:04,119.805,119.82,119.6361,119.65,31599,IBM,
16/02/21 17:09,119.66,119.86,119.6498,119.7632,62489,IBM,
16/02/21 17:14,119.78,119.83,119.68,119.78,48156,IBM,
16/02/21 17:19,119.77,119.87,119.74,119.8,58419,IBM,
16/02/21 17:24,119.82,119.9,119.78,119.82,37877,IBM,
16/02/21 17:29,119.83,119.84,119.77,119.786,42481,IBM,
16/02/21 17:34,119.7978,119.82,119.66,119.78,36233,IBM,
16/02/21 17:39,119.77,119.83,119.71,119.79,25603,IBM,
16/02/21 17:44,119.79,119.8616,119.78,119.82,32561,IBM,
16/02/21 17:49,119.81,119.83,119.675,119.69,41931,IBM,
16/02/21 17:54,119.7,119.76,119.69,119.71,15479,IBM,
16/02/21 17:59,119.72,119.9,119.714,119.9,46848,IBM,
16/02/21 18:04,119.895,119.93,119.87,119.92,22256,IBM,
16/02/21 18:09,119.91,119.94,119.87,119.91,28591,IBM,
16/02/21 18:14,119.9051,119.97,119.9051,119.935,27774,IBM,
16/02/21 18:19,119.935,119.97,119.899,119.94,32333,IBM,
16/02/21 18:24,119.935,120.11,119.925,120.04,61925,IBM,
16/02/21 18:29,120.03,120.18,120.01,120.1613,22349,IBM,
16/02/21 18:34,120.1654,120.1899,120.03,120.03,35691,IBM,
16/02/21 18:39,120.0409,120.05,119.94,119.945,21771,IBM,
16/02/21 18:44,119.9525,120.015,119.92,120.015,19267,IBM,
16/02/21 18:49,120.03,120.11,120.01,120.06,26323,IBM,
16/02/21 18:54,120.06,120.1,120,120.08,32501,IBM,
16/02/21 18:59,120.0889,120.1467,120.04,120.13,29946,IBM,
16/02/21 19:04,120.12,120.154,120.0788,120.08,20940,IBM,
16/02/21 19:09,120.0811,120.09,119.99,119.99,40390,IBM,
16/02/21 19:14,120,120.02,119.98,119.9803,19285,IBM,
16/02/21 19:19,119.975,120.01,119.95,119.9722,23109,IBM,
16/02/21 19:24,119.9764,120.07,119.9764,120.02,23522,IBM,
16/02/21 19:29,120.015,120.16,120.01,120.15,31931,IBM,
16/02/21 19:34,120.14,120.22,120.1255,120.18,30759,IBM,
16/02/21 19:39,120.185,120.19,120.04,120.08,81804,IBM,
16/02/21 19:44,120.08,120.18,120.0722,120.16,24565,IBM,
16/02/21 19:49,120.141,120.15,120.02,120.02,29041,IBM,
16/02/21 19:54,120.01,120.095,120.01,120.07,49050,IBM,
16/02/21 19:59,120.05,120.15,120.05,120.11,31056,IBM,
16/02/21 20:04,120.14,120.23,120.12,120.17,35707,IBM,
16/02/21 20:09,120.16,120.1796,120.06,120.1,33815,IBM,
16/02/21 20:14,120.06,120.16,120.06,120.0899,32858,IBM,
16/02/21 20:19,120.08,120.085,120.02,120.05,32057,IBM,
16/02/21 20:24,120.08,120.2,120.065,120.16,35022,IBM,
16/02/21 20:29,120.17,120.193,120.08,120.18,41826,IBM,
16/02/21 20:34,120.1758,120.3,120.1615,120.21,54588,IBM,
16/02/21 20:39,120.21,120.23,120.1,120.2078,51344,IBM,
16/02/21 20:44,120.21,120.3,120.17,120.27,57489,IBM,
16/02/21 20:49,120.28,120.2997,120,120.13,172363,IBM,
16/02/21 20:54,120.14,120.24,120.02,120.08,197097,IBM,
16/02/21 20:59,120.08,120.22,119.975,120.07,773363,IBM,
16/02/21 21:04,119.74,119.74,119.74,119.74,201,IBM,
16/02/21 21:19,119.92,119.92,119.92,119.92,434,IBM,
16/02/21 21:34,120.07,120.07,120.07,120.07,1597,IBM,
16/02/21 21:39,120,120,120,120,554,IBM,
16/02/21 21:44,119.96,119.96,119.95,119.95,814,IBM,
16/02/21 21:49,119.79,119.79,119.79,119.79,2093,IBM,
16/02/21 22:04,119.8,119.8,119.8,119.8,5853,IBM,
16/02/21 22:09,119.8,119.8,119.8,119.8,2062,IBM,
16/02/21 22:14,120.03,120.03,120.02,120.02,805,IBM,
16/02/21 22:19,120.03,120.03,120.03,120.03,162,IBM,
16/02/21 22:34,120,120,120,120,252,IBM,
16/02/21 22:49,120.06,120.06,120.06,120.06,707,IBM,
16/02/21 22:54,120.06,120.06,120.06,120.06,500,IBM,
16/02/21 23:09,120.05,120.05,120.02,120.02,570,IBM,
16/02/21 23:14,120,120,120,120,306,IBM,
16/02/21 23:59,119.83,119.83,119.82,119.82,529,IBM,
17/02/21 0:19,120,120,120,120,130,IBM,
17/02/21 0:49,119.76,119.76,119.76,119.76,312,IBM,
17/02/21 9:49,120.02,120.02,120.02,120.02,402,IBM,
17/02/21 10:49,120.07,120.07,120.07,120.07,451,IBM,
17/02/21 11:14,120.07,120.07,120.07,120.07,661,IBM,
17/02/21 12:59,119.9686,119.9686,119.9686,119.9686,128,IBM,
17/02/21 13:04,119.9716,119.9716,119.9716,119.9716,300,IBM,
17/02/21 13:19,120.01,120.01,120.01,120.01,184,IBM,
17/02/21 13:24,120,120,120,120,386,IBM,
17/02/21 13:29,120.0001,120.0001,120,120,899,IBM,
17/02/21 13:34,120,120,119.8843,119.8843,616,IBM,
17/02/21 13:44,119.8501,119.8501,119.8501,119.8501,167,IBM,
17/02/21 13:49,119.85,119.86,119.75,119.75,1986,IBM,
17/02/21 14:09,119.62,119.62,119.6,119.6,1179,IBM,
17/02/21 14:29,119.5,120.26,119.02,120.26,407853,IBM,
17/02/21 14:34,120.19,120.56,119.9201,120.0482,54939,IBM,
17/02/21 14:39,120.095,120.45,120.095,120.37,64441,IBM,
17/02/21 14:44,120.389,120.47,120.19,120.19,52999,IBM,
17/02/21 14:49,120.161,120.255,120.03,120.09,39269,IBM,
17/02/21 14:54,120.02,120.16,119.8,119.8,32796,IBM,
17/02/21 14:59,119.8054,120.06,119.76,119.97,49497,IBM,
17/02/21 15:04,119.97,120.105,119.89,120.06,26476,IBM,
17/02/21 15:09,120.01,120.13,119.9,119.93,25538,IBM,
17/02/21 15:14,119.92,119.97,119.75,119.91,39193,IBM,
17/02/21 15:19,119.8983,120,119.79,119.79,38754,IBM,
17/02/21 15:24,119.79,119.95,119.72,119.88,24231,IBM,
17/02/21 15:29,119.86,119.86,119.59,119.695,51417,IBM,
17/02/21 15:34,119.69,119.93,119.62,119.914,41027,IBM,
17/02/21 15:39,119.94,119.98,119.7222,119.84,41339,IBM,
17/02/21 15:44,119.86,119.92,119.75,119.91,39887,IBM,
17/02/21 15:49,119.92,119.96,119.75,119.75,39858,IBM,
17/02/21 15:54,119.7596,119.92,119.7,119.77,52726,IBM,
17/02/21 15:59,119.79,119.85,119.6,119.69,56616,IBM,
17/02/21 16:04,119.66,119.67,119.53,119.53,38043,IBM,
17/02/21 16:09,119.54,119.57,119.4501,119.545,60324,IBM,
17/02/21 16:14,119.55,119.55,119.3,119.3,58145,IBM,
17/02/21 16:19,119.3299,119.47,119.23,119.23,138372,IBM,
17/02/21 16:24,119.27,119.4,119.1482,119.28,60991,IBM,
17/02/21 16:29,119.3,119.56,119.18,119.39,95512,IBM,
17/02/21 16:34,119.375,119.42,119.2,119.36,58072,IBM,
17/02/21 16:39,119.35,119.66,119.3,119.6,119319,IBM,
17/02/21 16:44,119.61,119.61,119.44,119.57,28664,IBM,
17/02/21 16:49,119.58,119.6532,119.56,119.64,27691,IBM,
17/02/21 16:54,119.65,119.69,119.56,119.66,41476,IBM,
17/02/21 16:59,119.65,119.72,119.61,119.68,27471,IBM,
17/02/21 17:04,119.6943,119.96,119.67,119.79,40013,IBM,
17/02/21 17:09,119.77,119.82,119.72,119.72,21703,IBM,
17/02/21 17:14,119.72,119.8,119.69,119.8,23183,IBM,
