"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Gap_up","%5ENSEI","2015-01-12T14:20:00+0530",8309.45,8409.45,8209.45,1,"2015-01-15T09:15:00+0530","8452.65",-1,143.2,100,114320,4015
"2","Gap_up","%5ENSEI","2015-01-13T11:30:00+0530",8326.95,8226.95,8426.95,-1,"2015-01-15T09:15:00+0530","8452.65",1,-125.7,114,99990.2,2745
"3","Gap_up","%5ENSEI","2015-01-14T10:15:00+0530",8297.5,8197.5,8397.5,-1,"2015-01-15T09:15:00+0530","8452.65",1,-155.15,100,84475.2,1380
"4","Gap_up","%5ENSEI","2015-01-15T09:45:00+0530",8408.85,8308.85,8508.85,-1,"2015-01-15T14:30:00+0530","8509.45",1,-100.6,84,76024.8,285
"5","Gap_up","%5ENSEI","2015-01-19T10:15:00+0530",8561.25,8661.25,8461.25,1,"2015-01-20T14:15:00+0530","8661.25",-1,100,76,83624.8,1680
"6","Gap_up","%5ENSEI","2015-01-20T09:35:00+0530",8592.25,8692.25,8492.25,1,"2015-01-20T14:50:00+0530","8693.05",-1,100.8,84,92092,315
"7","Gap_up","%5ENSEI","2015-01-21T09:35:00+0530",8730.9,8830.9,8630.9,1,"2015-01-23T09:15:00+0530","8855.85",-1,124.95,92,103587.4,2860
"8","Gap_up","%5ENSEI","2015-01-22T09:40:00+0530",8754.65,8854.65,8654.65,1,"2015-01-23T09:15:00+0530","8855.85",-1,101.2,104,114112.2,1415
"9","Gap_up","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8720.35,8920.35,-1,"2015-01-27T15:10:00+0530","8924.95",1,-104.6,114,102187.8,6050
"10","Gap_up","%5ENSEI","2015-01-27T11:35:00+0530",8836.85,8736.85,8936.85,-1,"2015-01-28T11:15:00+0530","8951.55",1,-114.7,102,90488.4,1420
"11","Gap_up","%5ENSEI","2015-01-30T09:40:00+0530",8941,8841,9041,-1,"2015-01-30T11:35:00+0530","8837.05",1,103.95,90,99843.9,115
"12","Gap_up","%5ENSEI","2015-02-03T09:40:00+0530",8817.1,8717.1,8917.1,-1,"2015-02-04T10:45:00+0530","8716.75",1,100.35,100,109878.9,1505
"13","Gap_up","%5ENSEI","2015-02-04T09:40:00+0530",8759.55,8659.55,8859.55,-1,"2015-02-06T14:35:00+0530","8658.2",1,101.35,110,121027.4,3175
