"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Gap_up","%5ENSEI","2015-01-12T14:20:00+0530",8309.45,8359.45,8159.45,1,"2015-01-15T09:15:00+0530","8452.65",-1,143.2,100,114320,4015
"2","Gap_up","%5ENSEI","2015-01-13T11:30:00+0530",8326.95,8276.95,8476.95,-1,"2015-01-13T14:40:00+0530","8271.3",1,55.65,114,120664.1,190
"3","Gap_up","%5ENSEI","2015-01-14T10:15:00+0530",8297.5,8247.5,8447.5,-1,"2015-01-14T12:25:00+0530","8247.15",1,50.35,121,126756.45,130
"4","Gap_up","%5ENSEI","2015-01-15T09:45:00+0530",8408.85,8358.85,8558.85,-1,"2015-01-19T09:25:00+0530","8560.75",1,-151.9,127,107465.15,5740
"5","Gap_up","%5ENSEI","2015-01-19T10:15:00+0530",8561.25,8611.25,8411.25,1,"2015-01-20T12:20:00+0530","8613.3",-1,52.05,107,113034.5,1565
"6","Gap_up","%5ENSEI","2015-01-20T09:35:00+0530",8592.25,8642.25,8442.25,1,"2015-01-20T13:40:00+0530","8642.95",-1,50.7,113,118763.6,245
"7","Gap_up","%5ENSEI","2015-01-21T09:35:00+0530",8730.9,8780.9,8580.9,1,"2015-01-23T09:15:00+0530","8855.85",-1,124.95,119,133632.65,2860
"8","Gap_up","%5ENSEI","2015-01-22T09:40:00+0530",8754.65,8804.65,8604.65,1,"2015-01-23T09:15:00+0530","8855.85",-1,101.2,134,147193.45,1415
"9","Gap_up","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8770.35,8970.35,-1,"2015-01-28T12:20:00+0530","8971.15",1,-150.8,147,125025.85,7320
"10","Gap_up","%5ENSEI","2015-01-27T11:35:00+0530",8836.85,8786.85,8986.85,-1,"2015-01-30T09:15:00+0530","8996.6",1,-159.75,125,105057.1,4180
"11","Gap_up","%5ENSEI","2015-01-30T09:40:00+0530",8941,8891,9091,-1,"2015-01-30T11:05:00+0530","8882.9",1,58.1,105,111157.6,85
"12","Gap_up","%5ENSEI","2015-02-03T09:40:00+0530",8817.1,8767.1,8967.1,-1,"2015-02-03T11:45:00+0530","8759",1,58.1,111,117606.7,125
"13","Gap_up","%5ENSEI","2015-02-04T09:40:00+0530",8759.55,8709.55,8909.55,-1,"2015-02-04T15:25:00+0530","8704.7",1,54.85,118,124079,345
"14","Gap_up","%5ENSEI","2015-02-05T13:15:00+0530",8797.55,8847.55,8647.55,1,"2015-02-06T15:00:00+0530","8646.65",-1,-150.9,124,105367.4,1545
"15","Gap_up","%5ENSEI","2015-02-11T09:45:00+0530",8596.1,8546.1,8746.1,-1,"2015-02-13T09:15:00+0530","8749.35",1,-153.25,105,89276.15,2850
"16","Gap_up","%5ENSEI","2015-02-12T10:05:00+0530",8633.95,8583.95,8783.95,-1,"2015-02-13T12:55:00+0530","8785.05",1,-151.1,89,75828.25,1610
"17","Gap_up","%5ENSEI","2015-02-13T09:40:00+0530",8760.9,8810.9,8610.9,1,"2015-02-13T14:35:00+0530","8812.35",-1,51.45,76,79738.45,295
"18","Gap_up","%5ENSEI","2015-02-16T10:10:00+0530",8861.95,8911.95,8711.95,1,"2015-02-19T15:20:00+0530","8913.45",-1,51.5,80,83858.45,4630
"19","Gap_up","%5ENSEI","2015-02-18T14:00:00+0530",8870.85,8920.85,8720.85,1,"2015-02-26T12:40:00+0530","8717.5",-1,-153.35,84,70977.05,11440
"20","Gap_up","%5ENSEI","2015-02-19T10:30:00+0530",8882,8832,9032,-1,"2015-02-19T11:00:00+0530","8820.5",1,61.5,71,75343.55,30
