"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Gap_up","%5ENSEI","2015-01-12T14:20:00+0530",8309.45,8350.99725,8267.90275,1,"2015-01-13T09:15:00+0530","8355.9",-1,46.45,241,111194.45,1135
"2","Gap_up","%5ENSEI","2015-01-13T11:30:00+0530",8326.95,8285.31525,8368.58475,-1,"2015-01-13T14:40:00+0530","8271.3",1,55.65,267,126053,190
"3","Gap_up","%5ENSEI","2015-01-14T10:15:00+0530",8297.5,8256.0125,8338.9875,-1,"2015-01-14T12:25:00+0530","8247.15",1,50.35,304,141359.4,130
"4","Gap_up","%5ENSEI","2015-01-15T09:45:00+0530",8408.85,8366.80575,8450.89425,-1,"2015-01-15T11:35:00+0530","8457.15",1,-48.3,336,125130.6,110
"5","Gap_up","%5ENSEI","2015-01-19T10:15:00+0530",8561.25,8604.05625,8518.44375,1,"2015-01-20T10:50:00+0530","8604.9",-1,43.65,292,137876.4,1475
"6","Gap_up","%5ENSEI","2015-01-20T09:35:00+0530",8592.25,8635.21125,8549.28875,1,"2015-01-20T13:40:00+0530","8642.95",-1,50.7,321,154151.1,245
"7","Gap_up","%5ENSEI","2015-01-21T09:35:00+0530",8730.9,8774.5545,8687.2455,1,"2015-01-23T09:15:00+0530","8855.85",-1,124.95,353,198258.45,2860
"8","Gap_up","%5ENSEI","2015-01-22T09:40:00+0530",8754.65,8798.42325,8710.87675,1,"2015-01-23T09:15:00+0530","8855.85",-1,101.2,453,244102.05,1415
"9","Gap_up","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8776.24825,8864.45175,-1,"2015-01-27T09:15:00+0530","8874.7",1,-54.35,553,214046.5,5695
"10","Gap_up","%5ENSEI","2015-01-27T11:35:00+0530",8836.85,8792.66575,8881.03425,-1,"2015-01-27T14:35:00+0530","8885.8",1,-48.95,484,190354.7,180
"11","Gap_up","%5ENSEI","2015-01-30T09:40:00+0530",8941,8896.295,8985.705,-1,"2015-01-30T11:00:00+0530","8894.4",1,46.6,426,210206.3,80
"12","Gap_up","%5ENSEI","2015-02-03T09:40:00+0530",8817.1,8773.0145,8861.1855,-1,"2015-02-03T11:00:00+0530","8768.7",1,48.4,477,233293.1,80
"13","Gap_up","%5ENSEI","2015-02-04T09:40:00+0530",8759.55,8715.75225,8803.34775,-1,"2015-02-04T15:20:00+0530","8709.8",1,49.75,533,259809.85,340
"14","Gap_up","%5ENSEI","2015-02-05T13:15:00+0530",8797.55,8841.53775,8753.56225,1,"2015-02-05T14:55:00+0530","8742.4",-1,-55.15,591,227216.2,100
"15","Gap_up","%5ENSEI","2015-02-11T09:45:00+0530",8596.1,8553.1195,8639.0805,-1,"2015-02-11T13:05:00+0530","8645.55",1,-49.45,529,201057.15,200
"16","Gap_up","%5ENSEI","2015-02-12T10:05:00+0530",8633.95,8590.78025,8677.11975,-1,"2015-02-12T14:40:00+0530","8684.4",1,-50.45,466,177547.45,275
"17","Gap_up","%5ENSEI","2015-02-13T09:40:00+0530",8760.9,8804.7045,8717.0955,1,"2015-02-13T14:25:00+0530","8806.8",-1,45.9,405,196136.95,285
