"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEI","2015-03-12T09:20:00+0530",8756.8,8856.8,8656.8,1,"2015-03-13T14:00:00+0530","8654.85",-1,-101.95,100,89805,1720
"2","Reds Rocket","%5ENSEI","2015-05-15T09:15:00+0530",8260.55,8360.55,8160.55,1,"2015-05-18T15:00:00+0530","8364.65",-1,104.1,90,99174,4665
"3","Reds Rocket","%5ENSEI","2015-07-03T09:35:00+0530",8479.75,8579.75,8379.75,1,"2015-07-08T11:05:00+0530","8375.9",-1,-103.85,99,88892.85,7290
"4","Reds Rocket","%5ENSEI","2015-07-30T09:15:00+0530",8415.8,8515.8,8315.8,1,"2015-07-31T12:10:00+0530","8517.85",-1,102.05,89,97975.3,1615
"5","Reds Rocket","%5ENSEI","2015-08-10T09:20:00+0530",8597.2,8697.2,8497.2,1,"2015-08-11T09:35:00+0530","8494.7",-1,-102.5,98,87930.3,1455
"6","Reds Rocket","%5ENSEI","2015-08-14T11:00:00+0530",8457.1,8557.1,8357.1,1,"2015-08-21T09:15:00+0530","8240.05",-1,-217.05,88,68829.9,9975
"7","Reds Rocket","%5ENSEI","2015-09-04T09:25:00+0530",7751.5,7651.5,7851.5,-1,"2015-09-04T09:55:00+0530","7646.85",1,104.65,69,76050.75,30
"8","Reds Rocket","%5ENSEI","2015-10-15T09:15:00+0530",8156.75,8256.75,8056.75,1,"2015-10-19T09:15:00+0530","8263.45",-1,106.7,76,84159.95,5760
"9","Reds Rocket","%5ENSEI","2016-01-11T09:15:00+0530",7506.45,7406.45,7606.45,-1,"2016-01-18T09:20:00+0530","7405.95",1,100.5,84,92601.95,10085
"10","Reds Rocket","%5ENSEI","2016-01-20T09:15:00+0530",7318.65,7218.65,7418.65,-1,"2016-01-22T12:20:00+0530","7421.35",1,-102.7,93,83050.85,3065
"11","Reds Rocket","%5ENSEI","2016-03-14T09:15:00+0530",7561.25,7661.25,7461.25,1,"2016-03-15T14:00:00+0530","7454.85",-1,-106.4,83,74219.65,1725
"12","Reds Rocket","%5ENSEI","2016-03-28T12:40:00+0530",7669.2,7569.2,7769.2,-1,"2016-03-31T10:05:00+0530","7769.5",1,-100.3,74,66797.45,4165
"13","Reds Rocket","%5ENSEI","2016-04-07T09:30:00+0530",7590.65,7490.65,7690.65,-1,"2016-04-12T09:25:00+0530","7692.5",1,-101.85,67,59973.5,7195
"14","Reds Rocket","%5ENSEI","2016-06-09T09:15:00+0530",8250.8,8150.8,8350.8,-1,"2016-06-13T09:15:00+0530","8094.65",1,156.15,60,69342.5,5760
"15","Reds Rocket","%5ENSEI","2016-08-01T09:15:00+0530",8698.8,8798.8,8598.8,1,"2016-08-01T13:15:00+0530","8590.75",-1,-108.05,69,61887.05,240
"16","Reds Rocket","%5ENSEI","2016-09-02T14:30:00+0530",8817.75,8917.75,8717.75,1,"2016-09-06T14:40:00+0530","8918.4",-1,100.65,62,68127.35,5770
"17","Reds Rocket","%5ENSEI","2016-09-29T09:15:00+0530",8793.05,8893.05,8693.05,1,"2016-09-29T12:25:00+0530","8677.25",-1,-115.8,68,60252.95,190
"18","Reds Rocket","%5ENSEI","2016-12-19T09:15:00+0530",8121.7,8021.7,8221.7,-1,"2016-12-22T09:35:00+0530","8020.25",1,101.45,60,66339.95,4340
"19","Reds Rocket","%5ENSEI","2017-01-05T09:15:00+0530",8231.2,8331.2,8131.2,1,"2017-01-11T09:15:00+0530","8332.95",-1,101.75,66,73055.45,8640
"20","Reds Rocket","%5ENSEI","2017-01-20T10:25:00+0530",8402.25,8302.25,8502.25,-1,"2017-01-25T09:15:00+0530","8503.6",1,-101.35,73,65656.9,7130
"21","Reds Rocket","%5ENSEI","2017-01-31T09:15:00+0530",8605.95,8505.95,8705.95,-1,"2017-02-01T14:55:00+0530","8708.15",1,-102.2,66,58911.7,1780
"22","Reds Rocket","%5ENSEI","2017-02-06T09:15:00+0530",8786.1,8886.1,8686.1,1,"2017-02-21T09:15:00+0530","8892.8",-1,106.7,59,65207,21600
"23","Reds Rocket","%5ENSEI","2017-02-15T11:10:00+0530",8764.05,8664.05,8864.05,-1,"2017-02-17T09:15:00+0530","8885.9",1,-121.85,65,57286.75,2765
"24","Reds Rocket","%5ENSEI","2017-03-16T09:15:00+0530",9138.85,9238.85,9038.85,1,"2017-03-22T10:05:00+0530","9036.45",-1,-102.4,57,51449.95,8690
"25","Reds Rocket","%5ENSEI","2017-05-31T13:30:00+0530",9636.15,9736.15,9536.15,1,"2017-06-27T09:45:00+0530","9535.05",-1,-101.1,51,46293.85,38655
"26","Reds Rocket","%5ENSEI","2017-06-29T09:15:00+0530",9534.8,9634.8,9434.8,1,"2017-07-04T09:15:00+0530","9649.8",-1,115,46,51583.85,7200
"27","Reds Rocket","%5ENSEI","2017-07-06T09:15:00+0530",9643.95,9743.95,9543.95,1,"2017-07-10T09:20:00+0530","9761.65",-1,117.7,52,57704.25,5765
"28","Reds Rocket","%5ENSEI","2017-07-13T09:15:00+0530",9874,9974,9774,1,"2017-07-24T14:10:00+0530","9977.15",-1,103.15,58,63686.95,16135
"29","Reds Rocket","%5ENSEI","2017-09-06T09:15:00+0530",9898.25,9798.25,9998.25,-1,"2017-09-11T11:25:00+0530","10003.05",1,-104.8,64,56979.75,7330
"30","Reds Rocket","%5ENSEI","2017-09-15T09:35:00+0530",10062.45,9962.45,10162.45,-1,"2017-09-18T09:40:00+0530","10166.75",1,-104.3,57,51034.65,4325
"31","Reds Rocket","%5ENSEI","2017-09-21T09:50:00+0530",10132.8,10032.8,10232.8,-1,"2017-09-22T09:30:00+0530","10025.65",1,107.15,51,56499.3,1420
"32","Reds Rocket","%5ENSEI","2018-02-22T09:30:00+0530",10345.6,10245.6,10445.6,-1,"2018-02-23T11:35:00+0530","10447.85",1,-102.25,56,50773.3,1565
"33","Reds Rocket","%5ENSEI","2018-03-16T09:15:00+0530",10313.65,10213.65,10413.65,-1,"2018-03-16T14:30:00+0530","10206.8",1,106.85,51,56222.65,315
"34","Reds Rocket","%5ENSEI","2018-04-20T09:40:00+0530",10545.3,10445.3,10645.3,-1,"2018-04-27T09:15:00+0530","10677.15",1,-131.85,56,48839.05,10055
"35","Reds Rocket","%5ENSEI","2018-06-19T09:15:00+0530",10761.75,10661.75,10861.75,-1,"2018-06-27T14:15:00+0530","10658.9",1,102.85,49,53878.7,11820
"36","Reds Rocket","%5ENSEI","2018-07-04T11:50:00+0530",10714.15,10814.15,10614.15,1,"2018-07-06T11:15:00+0530","10815.85",-1,101.7,54,59370.5,2845
"37","Reds Rocket","%5ENSEI","2018-10-10T09:55:00+0530",10399.8,10499.8,10299.8,1,"2018-10-11T09:15:00+0530","10148",-1,-251.8,59,44514.3,1400
"38","Reds Rocket","%5ENSEI","2018-11-06T09:15:00+0530",10575.65,10675.65,10475.65,1,"2018-11-12T15:15:00+0530","10474.95",-1,-100.7,45,39982.8,9000
"39","Reds Rocket","%5ENSEI","2018-11-16T09:15:00+0530",10648.35,10748.35,10548.35,1,"2018-11-19T14:50:00+0530","10749.5",-1,101.15,40,44028.8,4655
"40","Reds Rocket","%5ENSEI","2018-12-17T09:15:00+0530",10871.75,10971.75,10771.75,1,"2018-12-19T13:15:00+0530","10972.85",-1,101.1,44,48477.2,3120
"41","Reds Rocket","%5ENSEI","2019-01-11T11:30:00+0530",10785.45,10685.45,10885.45,-1,"2019-01-15T15:05:00+0530","10888",1,-102.55,48,43554.8,5975
"42","Reds Rocket","%5ENSEI","2019-02-25T09:15:00+0530",10823.35,10923.35,10723.35,1,"2019-02-27T10:30:00+0530","10923.85",-1,100.5,44,47976.8,2955
"43","Reds Rocket","%5ENSEI","2019-03-01T09:20:00+0530",10869.9,10969.9,10769.9,1,"2019-03-05T14:40:00+0530","10975.2",-1,105.3,48,53031.2,6080
"44","Reds Rocket","%5ENSEI","2019-05-17T09:15:00+0530",11287.6,11387.6,11187.6,1,"2019-05-17T13:45:00+0530","11388.6",-1,101,53,58384.2,270
