"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEI","2015-03-12T09:20:00+0530",8756.8,8844.368,8669.232,1,"2015-03-13T14:00:00+0530","8654.85",-1,-101.95,114,88377.7,1720
"2","Reds Rocket","%5ENSEI","2015-05-15T09:15:00+0530",8260.55,8343.1555,8177.9445,1,"2015-05-18T14:30:00+0530","8345.2",-1,84.65,107,97435.25,4635
"3","Reds Rocket","%5ENSEI","2015-07-03T09:35:00+0530",8479.75,8564.5475,8394.9525,1,"2015-07-06T09:15:00+0530","8386.15",-1,-93.6,115,86671.25,4300
"4","Reds Rocket","%5ENSEI","2015-07-30T09:15:00+0530",8415.8,8499.958,8331.642,1,"2015-07-31T11:00:00+0530","8502.35",-1,86.55,103,95585.9,1545
"5","Reds Rocket","%5ENSEI","2015-08-10T09:20:00+0530",8597.2,8683.172,8511.228,1,"2015-08-10T15:05:00+0530","8498",-1,-99.2,111,84574.7,345
"6","Reds Rocket","%5ENSEI","2015-08-14T11:00:00+0530",8457.1,8541.671,8372.529,1,"2015-08-20T14:30:00+0530","8365.25",-1,-91.85,100,75389.7,8850
"7","Reds Rocket","%5ENSEI","2015-09-04T09:25:00+0530",7751.5,7673.985,7829.015,-1,"2015-09-04T09:40:00+0530","7656.15",1,95.35,97,84638.65,15
"8","Reds Rocket","%5ENSEI","2015-10-15T09:15:00+0530",8156.75,8238.3175,8075.1825,1,"2015-10-16T14:35:00+0530","8240.3",-1,83.55,104,93327.85,1760
"9","Reds Rocket","%5ENSEI","2016-01-11T09:15:00+0530",7506.45,7431.3855,7581.5145,-1,"2016-01-11T14:00:00+0530","7586.65",1,-80.2,124,83383.05,285
"10","Reds Rocket","%5ENSEI","2016-01-20T09:15:00+0530",7318.65,7245.4635,7391.8365,-1,"2016-01-20T14:35:00+0530","7245.35",1,73.3,114,91739.25,320
"11","Reds Rocket","%5ENSEI","2016-03-14T09:15:00+0530",7561.25,7636.8625,7485.6375,1,"2016-03-15T10:20:00+0530","7485.5",-1,-75.75,121,82573.5,1505
"12","Reds Rocket","%5ENSEI","2016-03-28T12:40:00+0530",7669.2,7592.508,7745.892,-1,"2016-03-28T15:00:00+0530","7588.2",1,81,108,91321.5,140
"13","Reds Rocket","%5ENSEI","2016-04-07T09:30:00+0530",7590.65,7514.7435,7666.5565,-1,"2016-04-11T15:00:00+0530","7677.2",1,-86.55,120,80935.5,6090
"14","Reds Rocket","%5ENSEI","2016-06-09T09:15:00+0530",8250.8,8168.292,8333.308,-1,"2016-06-10T13:25:00+0530","8167.2",1,83.6,98,89128.3,1690
"15","Reds Rocket","%5ENSEI","2016-08-01T09:15:00+0530",8698.8,8785.788,8611.812,1,"2016-08-01T13:05:00+0530","8611.05",-1,-87.75,102,80177.8,230
"16","Reds Rocket","%5ENSEI","2016-09-02T14:30:00+0530",8817.75,8905.9275,8729.5725,1,"2016-09-06T12:40:00+0530","8906.75",-1,89,91,88276.8,5650
"17","Reds Rocket","%5ENSEI","2016-09-29T09:15:00+0530",8793.05,8880.9805,8705.1195,1,"2016-09-29T12:25:00+0530","8677.25",-1,-115.8,100,76696.8,190
"18","Reds Rocket","%5ENSEI","2016-12-19T09:15:00+0530",8121.7,8040.483,8202.917,-1,"2016-12-22T09:15:00+0530","8037.9",1,83.8,94,84574,4320
"19","Reds Rocket","%5ENSEI","2017-01-05T09:15:00+0530",8231.2,8313.512,8148.888,1,"2017-01-11T09:15:00+0530","8332.95",-1,101.75,103,95054.25,8640
"20","Reds Rocket","%5ENSEI","2017-01-20T10:25:00+0530",8402.25,8318.2275,8486.2725,-1,"2017-01-25T09:15:00+0530","8503.6",1,-101.35,113,83601.7,7130
"21","Reds Rocket","%5ENSEI","2017-01-31T09:15:00+0530",8605.95,8519.8905,8692.0095,-1,"2017-02-01T14:05:00+0530","8692.55",1,-86.6,97,75201.5,1730
