"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEI","2015-03-12T09:20:00+0530",8756.8,8906.8,8706.8,1,"2015-03-13T11:30:00+0530","8696.35",-1,-60.45,100,93955,1570
"2","Reds Rocket","%5ENSEI","2015-05-15T09:15:00+0530",8260.55,8410.55,8210.55,1,"2015-05-19T12:50:00+0530","8410.85",-1,150.3,94,108083.2,5975
"3","Reds Rocket","%5ENSEI","2015-07-03T09:35:00+0530",8479.75,8629.75,8429.75,1,"2015-07-06T09:15:00+0530","8386.15",-1,-93.6,108,97974.4,4300
"4","Reds Rocket","%5ENSEI","2015-07-30T09:15:00+0530",8415.8,8565.8,8365.8,1,"2015-08-05T09:15:00+0530","8572.85",-1,157.05,98,113365.3,8640
"5","Reds Rocket","%5ENSEI","2015-08-10T09:20:00+0530",8597.2,8747.2,8547.2,1,"2015-08-10T15:05:00+0530","8498",-1,-99.2,113,102155.7,345
"6","Reds Rocket","%5ENSEI","2015-08-14T11:00:00+0530",8457.1,8607.1,8407.1,1,"2015-08-20T13:10:00+0530","8405.95",-1,-51.15,102,96938.4,8770
"7","Reds Rocket","%5ENSEI","2015-09-04T09:25:00+0530",7751.5,7601.5,7801.5,-1,"2015-09-07T14:20:00+0530","7600.3",1,151.2,97,111604.8,4615
"8","Reds Rocket","%5ENSEI","2015-10-15T09:15:00+0530",8156.75,8306.75,8106.75,1,"2015-10-23T09:15:00+0530","8324.3",-1,167.55,112,130370.4,11520
"9","Reds Rocket","%5ENSEI","2016-01-11T09:15:00+0530",7506.45,7356.45,7556.45,-1,"2016-01-11T11:40:00+0530","7557.6",1,-51.15,130,123720.9,145
"10","Reds Rocket","%5ENSEI","2016-01-20T09:15:00+0530",7318.65,7168.65,7368.65,-1,"2016-01-21T09:15:00+0530","7387.25",1,-68.6,124,115214.5,1440
"11","Reds Rocket","%5ENSEI","2016-03-14T09:15:00+0530",7561.25,7711.25,7511.25,1,"2016-03-15T09:20:00+0530","7501.75",-1,-59.5,115,108372,1445
"12","Reds Rocket","%5ENSEI","2016-03-28T12:40:00+0530",7669.2,7519.2,7719.2,-1,"2016-03-30T13:50:00+0530","7722.35",1,-53.15,108,102631.8,2950
"13","Reds Rocket","%5ENSEI","2016-04-07T09:30:00+0530",7590.65,7440.65,7640.65,-1,"2016-04-11T14:45:00+0530","7645.2",1,-54.55,103,97013.15,6075
"14","Reds Rocket","%5ENSEI","2016-06-09T09:15:00+0530",8250.8,8100.8,8300.8,-1,"2016-06-13T09:15:00+0530","8094.65",1,156.15,97,112159.7,5760
"15","Reds Rocket","%5ENSEI","2016-08-01T09:15:00+0530",8698.8,8848.8,8648.8,1,"2016-08-01T12:00:00+0530","8644.5",-1,-54.3,112,106078.1,165
"16","Reds Rocket","%5ENSEI","2016-09-02T14:30:00+0530",8817.75,8967.75,8767.75,1,"2016-09-07T09:15:00+0530","8968.7",-1,150.95,106,122078.8,6885
"17","Reds Rocket","%5ENSEI","2016-09-29T09:15:00+0530",8793.05,8943.05,8743.05,1,"2016-09-29T12:15:00+0530","8738.6",-1,-54.45,122,115435.9,180
"18","Reds Rocket","%5ENSEI","2016-12-19T09:15:00+0530",8121.7,7971.7,8171.7,-1,"2016-12-22T13:25:00+0530","7967.5",1,154.2,115,133168.9,4570
"19","Reds Rocket","%5ENSEI","2017-01-05T09:15:00+0530",8231.2,8381.2,8181.2,1,"2017-01-11T14:20:00+0530","8382",-1,150.8,133,153225.3,8945
"20","Reds Rocket","%5ENSEI","2017-01-20T10:25:00+0530",8402.25,8252.25,8452.25,-1,"2017-01-24T13:55:00+0530","8454.8",1,-52.55,153,145185.15,5970
"21","Reds Rocket","%5ENSEI","2017-01-31T09:15:00+0530",8605.95,8455.95,8655.95,-1,"2017-02-01T13:05:00+0530","8657.8",1,-51.85,145,137666.9,1670
"22","Reds Rocket","%5ENSEI","2017-02-06T09:15:00+0530",8786.1,8936.1,8736.1,1,"2017-02-08T14:30:00+0530","8723.55",-1,-62.55,138,129035,3195
"23","Reds Rocket","%5ENSEI","2017-02-15T11:10:00+0530",8764.05,8614.05,8814.05,-1,"2017-02-17T09:15:00+0530","8885.9",1,-121.85,129,113316.35,2765
