"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Sweths Violation","%5ENSEI","2015-01-09T09:35:00+0530",8283.45,8183.45,8383.45,-1,"2015-01-15T09:15:00+0530","8452.65",1,-169.2,100,83080,8620
"2","Sweths Violation","%5ENSEI","2015-01-19T11:25:00+0530",8551.2,8451.2,8651.2,-1,"2015-01-20T14:05:00+0530","8656.4",1,-105.2,83,74348.4,1600
"3","Sweths Violation","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8720.35,8920.35,-1,"2015-01-27T15:10:00+0530","8924.95",1,-104.6,74,66608,6050
"4","Sweths Violation","%5ENSEI","2015-01-29T15:00:00+0530",8959.5,9059.5,8859.5,1,"2015-01-30T11:25:00+0530","8853.3",-1,-106.2,67,59492.6,1225
"5","Sweths Violation","%5ENSEI","2015-02-05T09:40:00+0530",8742.7,8842.7,8642.7,1,"2015-02-09T09:15:00+0530","8577.85",-1,-164.85,59,49766.45,5735
"6","Sweths Violation","%5ENSEI","2015-02-19T10:30:00+0530",8882,8782,8982,-1,"2015-02-23T14:10:00+0530","8768.6",1,113.4,50,55436.45,5980
"7","Sweths Violation","%5ENSEI","2015-03-16T09:55:00+0530",8633.15,8533.15,8733.15,-1,"2015-03-17T11:25:00+0530","8735.25",1,-102.1,55,49820.95,1530
"8","Sweths Violation","%5ENSEI","2015-03-17T09:55:00+0530",8695.8,8795.8,8595.8,1,"2015-03-20T09:20:00+0530","8589.85",-1,-105.95,50,44523.45,4285
"9","Sweths Violation","%5ENSEI","2015-04-06T13:45:00+0530",8625.25,8725.25,8525.25,1,"2015-04-08T12:05:00+0530","8725.6",-1,100.35,45,49039.2,2780
"10","Sweths Violation","%5ENSEI","2015-04-13T12:10:00+0530",8805.3,8905.3,8705.3,1,"2015-04-16T10:10:00+0530","8702.8",-1,-102.5,49,44016.7,4200
"11","Sweths Violation","%5ENSEI","2015-04-23T09:40:00+0530",8486.9,8586.9,8386.9,1,"2015-04-23T12:40:00+0530","8382.95",-1,-103.95,44,39442.9,180
"12","Sweths Violation","%5ENSEI","2015-05-14T15:15:00+0530",8234.5,8334.5,8134.5,1,"2015-05-18T14:20:00+0530","8339.45",-1,104.95,39,43535.95,5705
"13","Sweths Violation","%5ENSEI","2015-05-28T09:35:00+0530",8342.75,8242.75,8442.75,-1,"2015-05-29T14:55:00+0530","8443.45",1,-100.7,44,39105.15,1760
"14","Sweths Violation","%5ENSEI","2015-06-23T10:10:00+0530",8389.6,8489.6,8289.6,1,"2015-06-29T09:15:00+0530","8218.1",-1,-171.5,39,32416.65,8585
"15","Sweths Violation","%5ENSEI","2015-06-29T13:05:00+0530",8249.1,8349.1,8149.1,1,"2015-06-30T09:15:00+0530","8351.75",-1,102.65,32,35701.45,1210
"16","Sweths Violation","%5ENSEI","2015-06-30T09:35:00+0530",8312.8,8212.8,8412.8,-1,"2015-07-01T09:55:00+0530","8414.65",1,-101.85,36,32034.85,1460
"17","Sweths Violation","%5ENSEI","2015-07-13T12:30:00+0530",8417.1,8517.1,8317.1,1,"2015-07-15T09:55:00+0530","8518.7",-1,101.6,32,35286.05,2725
"18","Sweths Violation","%5ENSEI","2015-07-14T14:00:00+0530",8473.9,8573.9,8373.9,1,"2015-07-16T10:00:00+0530","8575",-1,101.1,35,38824.55,2640
"19","Sweths Violation","%5ENSEI","2015-08-13T12:10:00+0530",8363.4,8263.4,8463.4,-1,"2015-08-14T11:05:00+0530","8480.25",1,-116.85,39,34267.4,1375
