"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Sweths Violation","%5ENSEI","2015-01-09T09:35:00+0530",8283.45,8133.45,8333.45,-1,"2015-01-13T09:15:00+0530","8355.9",1,-72.45,100,92755,5740
"2","Sweths Violation","%5ENSEI","2015-01-19T11:25:00+0530",8551.2,8401.2,8601.2,-1,"2015-01-20T10:15:00+0530","8601.85",1,-50.65,93,88044.55,1370
"3","Sweths Violation","%5ENSEI","2015-01-23T10:20:00+0530",8820.35,8670.35,8870.35,-1,"2015-01-27T09:15:00+0530","8874.7",1,-54.35,88,83261.75,5695
"4","Sweths Violation","%5ENSEI","2015-01-29T15:00:00+0530",8959.5,9109.5,8909.5,1,"2015-01-30T10:55:00+0530","8900.7",-1,-58.8,83,78381.35,1195
"5","Sweths Violation","%5ENSEI","2015-02-05T09:40:00+0530",8742.7,8892.7,8692.7,1,"2015-02-05T15:20:00+0530","8683.95",-1,-58.75,78,73798.85,340
"6","Sweths Violation","%5ENSEI","2015-02-19T10:30:00+0530",8882,8732,8932,-1,"2015-02-24T14:35:00+0530","8727.25",1,154.75,74,85250.35,7445
"7","Sweths Violation","%5ENSEI","2015-03-16T09:55:00+0530",8633.15,8483.15,8683.15,-1,"2015-03-17T09:15:00+0530","8691.2",1,-58.05,85,80316.1,1400
"8","Sweths Violation","%5ENSEI","2015-03-17T09:55:00+0530",8695.8,8845.8,8645.8,1,"2015-03-17T13:05:00+0530","8642",-1,-53.8,80,76012.1,190
"9","Sweths Violation","%5ENSEI","2015-04-06T13:45:00+0530",8625.25,8775.25,8575.25,1,"2015-04-09T15:05:00+0530","8777.45",-1,152.2,76,87579.3,4400
"10","Sweths Violation","%5ENSEI","2015-04-13T12:10:00+0530",8805.3,8955.3,8755.3,1,"2015-04-15T15:05:00+0530","8744.75",-1,-60.55,88,82250.9,3055
"11","Sweths Violation","%5ENSEI","2015-04-23T09:40:00+0530",8486.9,8636.9,8436.9,1,"2015-04-23T10:35:00+0530","8436.4",-1,-50.5,82,78109.9,55
"12","Sweths Violation","%5ENSEI","2015-05-14T15:15:00+0530",8234.5,8384.5,8184.5,1,"2015-05-19T12:00:00+0530","8384.7",-1,150.2,78,89825.5,7005
"13","Sweths Violation","%5ENSEI","2015-05-28T09:35:00+0530",8342.75,8192.75,8392.75,-1,"2015-05-29T10:15:00+0530","8398.55",1,-55.8,90,84803.5,1480
"14","Sweths Violation","%5ENSEI","2015-06-23T10:10:00+0530",8389.6,8539.6,8339.6,1,"2015-06-24T15:25:00+0530","8339.35",-1,-50.25,85,80532.25,1755
"15","Sweths Violation","%5ENSEI","2015-06-29T13:05:00+0530",8249.1,8399.1,8199.1,1,"2015-07-01T09:35:00+0530","8404.3",-1,155.2,81,93103.45,2670
"16","Sweths Violation","%5ENSEI","2015-06-30T09:35:00+0530",8312.8,8162.8,8362.8,-1,"2015-06-30T14:55:00+0530","8367.65",1,-54.85,93,88002.4,320
"17","Sweths Violation","%5ENSEI","2015-07-13T12:30:00+0530",8417.1,8567.1,8367.1,1,"2015-07-16T09:45:00+0530","8570.25",-1,153.15,88,101479.6,4155
"18","Sweths Violation","%5ENSEI","2015-07-14T14:00:00+0530",8473.9,8623.9,8423.9,1,"2015-07-17T09:20:00+0530","8632.9",-1,159,101,117538.6,4040
"19","Sweths Violation","%5ENSEI","2015-08-13T12:10:00+0530",8363.4,8213.4,8413.4,-1,"2015-08-14T10:40:00+0530","8414.1",1,-50.7,118,111556,1350
"20","Sweths Violation","%5ENSEI","2015-08-19T10:40:00+0530",8473.2,8623.2,8423.2,1,"2015-08-20T13:05:00+0530","8420",-1,-53.2,112,105597.6,1585
"21","Sweths Violation","%5ENSEI","2015-08-21T14:50:00+0530",8299.8,8449.8,8249.8,1,"2015-08-24T09:15:00+0530","7992.7",-1,-307.1,106,73045,3985
"22","Sweths Violation","%5ENSEI","2015-09-10T10:55:00+0530",7722.4,7872.4,7672.4,1,"2015-09-14T15:00:00+0530","7874.4",-1,152,73,84141,6005
"23","Sweths Violation","%5ENSEI","2015-10-13T09:35:00+0530",8121.35,7971.35,8171.35,-1,"2015-10-15T09:55:00+0530","8180.45",1,-59.1,84,79176.6,2900
"24","Sweths Violation","%5ENSEI","2015-10-19T12:30:00+0530",8265.45,8415.45,8215.45,1,"2015-10-28T09:15:00+0530","8182.3",-1,-83.15,79,72607.75,12765
"25","Sweths Violation","%5ENSEI","2015-10-20T10:10:00+0530",8283.05,8433.05,8233.05,1,"2015-10-20T14:30:00+0530","8229.4",-1,-53.65,73,68691.3,260
"26","Sweths Violation","%5ENSEI","2015-10-28T12:55:00+0530",8174.75,8024.75,8224.75,-1,"2015-11-02T09:50:00+0530","8022.15",1,152.6,69,79220.7,7075
"27","Sweths Violation","%5ENSEI","2015-11-06T10:15:00+0530",7937.65,7787.65,7987.65,-1,"2015-11-09T09:15:00+0530","7772.8",1,164.85,79,92243.85,4260
"28","Sweths Violation","%5ENSEI","2015-11-13T09:40:00+0530",7763.85,7913.85,7713.85,1,"2015-11-27T09:50:00+0530","7914.25",-1,150.4,92,106080.65,20170
"29","Sweths Violation","%5ENSEI","2015-11-17T14:10:00+0530",7856.55,8006.55,7806.55,1,"2015-11-18T12:40:00+0530","7804.95",-1,-51.6,106,100611.05,1350
"30","Sweths Violation","%5ENSEI","2015-11-18T12:20:00+0530",7813.3,7663.3,7863.3,-1,"2015-11-20T10:45:00+0530","7879.7",1,-66.4,101,93904.65,2785
"31","Sweths Violation","%5ENSEI","2015-11-19T10:25:00+0530",7797.35,7947.35,7747.35,1,"2015-11-27T14:30:00+0530","7951.35",-1,154,94,108380.65,11765
"32","Sweths Violation","%5ENSEI","2015-11-20T10:45:00+0530",7872.95,8022.95,7822.95,1,"2015-11-24T09:15:00+0530","7813.55",-1,-59.4,108,101965.45,5670
"33","Sweths Violation","%5ENSEI","2015-12-04T14:00:00+0530",7818.8,7968.8,7768.8,1,"2015-12-07T12:35:00+0530","7765.75",-1,-53.05,102,96554.35,4235
"34","Sweths Violation","%5ENSEI","2015-12-18T09:35:00+0530",7831.8,7981.8,7781.8,1,"2015-12-18T13:20:00+0530","7774.75",-1,-57.05,97,91020.5,225
"35","Sweths Violation","%5ENSEI","2016-01-01T10:50:00+0530",7945.25,8095.25,7895.25,1,"2016-01-04T10:10:00+0530","7878.25",-1,-67,91,84923.5,4280
"36","Sweths Violation","%5ENSEI","2016-02-17T14:15:00+0530",7058.35,7208.35,7008.35,1,"2016-02-18T09:30:00+0530","7208.9",-1,150.55,85,97720.25,1155
"37","Sweths Violation","%5ENSEI","2016-02-18T11:25:00+0530",7167.6,7017.6,7217.6,-1,"2016-02-19T14:30:00+0530","7226.3",1,-58.7,98,91967.65,1625
"38","Sweths Violation","%5ENSEI","2016-03-17T10:25:00+0530",7552,7402,7602,-1,"2016-03-18T15:00:00+0530","7613.35",1,-61.35,92,86323.45,1715
"39","Sweths Violation","%5ENSEI","2016-03-23T15:00:00+0530",7714.5,7864.5,7664.5,1,"2016-03-28T13:30:00+0530","7663.5",-1,-51,86,81937.45,7110
"40","Sweths Violation","%5ENSEI","2016-03-31T14:35:00+0530",7714.25,7564.25,7764.25,-1,"2016-04-04T15:25:00+0530","7764.3",1,-50.05,82,77833.35,5810
"41","Sweths Violation","%5ENSEI","2016-04-04T10:40:00+0530",7725.55,7575.55,7775.55,-1,"2016-04-07T09:35:00+0530","7567.95",1,157.6,78,90126.15,4255
"42","Sweths Violation","%5ENSEI","2016-04-11T13:30:00+0530",7601,7751,7551,1,"2016-04-13T09:15:00+0530","7801.7",-1,200.7,90,108189.15,2625
"43","Sweths Violation","%5ENSEI","2016-04-18T15:00:00+0530",7915.7,8065.7,7865.7,1,"2016-04-25T10:15:00+0530","7861.7",-1,-54,108,102357.15,9795
"44","Sweths Violation","%5ENSEI","2016-04-21T10:15:00+0530",7952.15,7802.15,8002.15,-1,"2016-04-29T13:00:00+0530","7795.55",1,156.6,102,118330.35,11685
"45","Sweths Violation","%5ENSEI","2016-05-02T12:00:00+0530",7829.25,7979.25,7779.25,1,"2016-05-03T13:00:00+0530","7777.65",-1,-51.6,118,112241.55,1500
"46","Sweths Violation","%5ENSEI","2016-05-06T12:45:00+0530",7717.8,7867.8,7667.8,1,"2016-05-09T14:35:00+0530","7870.25",-1,152.45,112,129315.95,4430
"47","Sweths Violation","%5ENSEI","2016-05-10T13:00:00+0530",7878.35,8028.35,7828.35,1,"2016-05-11T09:15:00+0530","7781.1",-1,-97.25,129,116770.7,1215
"48","Sweths Violation","%5ENSEI","2016-05-17T10:05:00+0530",7892.5,7742.5,7942.5,-1,"2016-05-20T15:00:00+0530","7739.95",1,152.55,117,134619.05,4615
"49","Sweths Violation","%5ENSEI","2016-05-18T12:55:00+0530",7865.8,8015.8,7815.8,1,"2016-05-19T12:50:00+0530","7807.65",-1,-58.15,135,126768.8,1435
"50","Sweths Violation","%5ENSEI","2016-05-24T09:45:00+0530",7741.35,7891.35,7691.35,1,"2016-05-25T12:00:00+0530","7893.1",-1,151.75,127,146041.05,1575
"51","Sweths Violation","%5ENSEI","2016-06-01T15:00:00+0530",8174.2,8024.2,8224.2,-1,"2016-06-02T15:05:00+0530","8229.3",1,-55.1,146,137996.45,1445
"52","Sweths Violation","%5ENSEI","2016-06-10T13:15:00+0530",8177.95,8027.95,8227.95,-1,"2016-06-20T12:45:00+0530","8229.75",1,-51.8,138,130848.05,14370
"53","Sweths Violation","%5ENSEI","2016-07-04T10:00:00+0530",8375.05,8225.05,8425.05,-1,"2016-07-11T09:15:00+0530","8432.1",1,-57.05,131,123374.5,10035
