"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEBANK","2021-02-09 09:20:00+05:30",35771.7,35413.983,36129.417,-1,"2021-02-09 10:35:00+05:30","36192.55",1,-420.85,28,88216.2,4500
"2","Reds Rocket","%5ENSEBANK","2021-02-12 10:40:00+05:30",36009.7,36369.797,35649.603,1,"2021-02-12 15:15:00+05:30","36161.55",-1,151.85,24,91860.6,16500
"3","Reds Rocket","%5ENSEBANK","2021-03-02 09:20:00+05:30",35666.75,36023.4175,35310.0825,1,"2021-03-02 10:50:00+05:30","35303.2",-1,-363.55,26,82408.3,5400
"4","Reds Rocket","%5ENSEBANK","2021-03-10 09:15:00+05:30",36120.3,36481.503,35759.097,1,"2021-03-10 15:15:00+05:30","35956",-1,-164.3,23,78629.4,21600
"5","Reds Rocket","%5ENSEBANK","2021-03-12 09:15:00+05:30",36412,36776.12,36047.88,1,"2021-03-12 12:20:00+05:30","36012.65",-1,-399.35,22,69843.7,11100
"6","Reds Rocket","%5ENSEBANK","2021-03-30 09:15:00+05:30",33643.65,33980.0865,33307.2135,1,"2021-03-30 14:15:00+05:30","33990.1",-1,346.45,21,77119.15,18000
"7","Reds Rocket","%5ENSEBANK","2021-03-31 09:15:00+05:30",33496.25,33161.2875,33831.2125,-1,"2021-03-31 11:30:00+05:30","33154.7",1,341.55,23,84974.8,8100
"8","Reds Rocket","%5ENSEBANK","2021-04-09 09:15:00+05:30",32408.1,32084.019,32732.181,-1,"2021-04-09 10:00:00+05:30","32801.7",1,-393.6,26,74741.2,2700
"9","Reds Rocket","%5ENSEBANK","2021-04-19 09:15:00+05:30",30699.4,30392.406,31006.394,-1,"2021-04-19 13:55:00+05:30","31053.4",1,-354,24,66245.2,16800
"10","Reds Rocket","%5ENSEBANK","2021-05-07 09:15:00+05:30",33163.25,33494.8825,32831.6175,1,"2021-05-07 12:15:00+05:30","32829.65",-1,-333.6,20,59573.2,10800
"11","Reds Rocket","%5ENSEBANK","2021-05-11 09:15:00+05:30",32720.75,32393.5425,33047.9575,-1,"2021-05-11 11:30:00+05:30","33150.9",1,-430.15,18,51830.5,8100
"12","Reds Rocket","%5ENSEBANK","2021-05-20 13:10:00+05:30",33590.2,33254.298,33926.102,-1,"2021-05-20 15:15:00+05:30","33287",1,303.2,15,56378.5,7500
"13","Reds Rocket","%5ENSEBANK","2021-06-03 09:15:00+05:30",35511.7,35866.817,35156.583,1,"2021-06-03 15:15:00+05:30","35661.8",-1,150.1,16,58780.1,21600
"14","Reds Rocket","%5ENSEBANK","2021-06-04 09:35:00+05:30",35767.7,36125.377,35410.023,1,"2021-06-04 11:10:00+05:30","35397",-1,-370.7,16,52848.9,5700
"15","Reds Rocket","%5ENSEBANK","2021-06-08 09:15:00+05:30",35322.55,34969.3245,35675.7755,-1,"2021-06-08 12:10:00+05:30","34964.85",1,357.7,15,58214.4,10500
"16","Reds Rocket","%5ENSEBANK","2021-06-16 09:30:00+05:30",35363.45,35717.0845,35009.8155,1,"2021-06-16 12:35:00+05:30","35001.3",-1,-362.15,16,52420,11100
"17","Reds Rocket","%5ENSEBANK","2021-06-25 09:15:00+05:30",35028.6,35378.886,34678.314,1,"2021-06-25 13:45:00+05:30","35386.9",-1,358.3,15,57794.5,16200
"18","Reds Rocket","%5ENSEBANK","2021-06-29 09:20:00+05:30",35206.95,34854.8805,35559.0195,-1,"2021-06-29 15:15:00+05:30","35003.05",1,203.9,16,61056.9,21300
"19","Reds Rocket","%5ENSEBANK","2021-07-05 09:15:00+05:30",35003.75,35353.7875,34653.7125,1,"2021-07-05 15:15:00+05:30","35230.45",-1,226.7,17,64910.8,21600
