"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEI","2021-01-12T11:15:00+0530",14500.2,14645.202,14355.198,1,"2021-01-12T15:15:00+0530","14570.75",-1,70.55,69,104867.95,240
"2","Reds Rocket","%5ENSEI","2021-02-08T09:15:00+0530",15085.75,15236.6075,14934.8925,1,"2021-02-08T15:15:00+0530","15120.65",-1,34.9,70,107310.95,360
"3","Reds Rocket","%5ENSEI","2021-02-09T09:15:00+0530",15172.6,15324.326,15020.874,1,"2021-02-09T15:15:00+0530","15130.5",-1,-42.1,71,104321.85,360
"4","Reds Rocket","%5ENSEI","2021-02-16T09:15:00+0530",15403.6,15557.636,15249.564,1,"2021-02-16T13:55:00+0530","15243.35",-1,-160.25,68,93424.85,280
"5","Reds Rocket","%5ENSEI","2021-02-26T09:15:00+0530",14841.5,14693.085,14989.915,-1,"2021-02-26T11:15:00+0530","14689.95",1,151.55,63,102972.5,120
"6","Reds Rocket","%5ENSEI","2021-03-12T09:15:00+0530",15310.9,15464.009,15157.791,1,"2021-03-12T13:30:00+0530","15149.35",-1,-161.55,67,92148.65,255
"7","Reds Rocket","%5ENSEI","2021-03-30T09:15:00+0530",14635.4,14781.754,14489.046,1,"2021-03-30T11:45:00+0530","14782.3",-1,146.9,63,101403.35,150
"8","Reds Rocket","%5ENSEI","2021-04-01T13:15:00+0530",14816.65,14964.8165,14668.4835,1,"2021-04-01T15:15:00+0530","14882.85",-1,66.2,68,105904.95,120
"9","Reds Rocket","%5ENSEI","2021-04-12T09:15:00+0530",14530.85,14385.5415,14676.1585,-1,"2021-04-12T09:35:00+0530","14384.55",1,146.3,73,116584.85,20
"10","Reds Rocket","%5ENSEI","2021-04-27T09:50:00+0530",14562,14707.62,14416.38,1,"2021-04-27T15:15:00+0530","14661.25",-1,99.25,80,124524.85,325
"11","Reds Rocket","%5ENSEI","2021-05-06T09:15:00+0530",14650.25,14796.7525,14503.7475,1,"2021-05-06T15:15:00+0530","14733.35",-1,83.1,85,131588.35,360
"12","Reds Rocket","%5ENSEI","2021-05-10T09:15:00+0530",14930.4,15079.704,14781.096,1,"2021-05-10T15:15:00+0530","14941.45",-1,11.05,88,132560.75,360
"13","Reds Rocket","%5ENSEI","2021-05-11T09:15:00+0530",14808.9,14660.811,14956.989,-1,"2021-05-11T15:15:00+0530","14849.75",1,-40.85,90,128884.25,360
