"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Reds Rocket","%5ENSEI","2021-03-23T09:15:00+0530",14795.95,14943.9095,14647.9905,1,"2021-03-23T15:15:00+0530","14821",-1,25.05,68,101703.4,6
"2","Reds Rocket","%5ENSEI","2021-03-30T09:15:00+0530",14635.4,14781.754,14489.046,1,"2021-03-30T11:45:00+0530","14782.3",-1,146.9,69,111839.5,2.5
"3","Reds Rocket","%5ENSEI","2021-04-01T13:15:00+0530",14816.65,14964.8165,14668.4835,1,"2021-04-01T15:15:00+0530","14882.85",-1,66.2,75,116804.5,2
"4","Reds Rocket","%5ENSEI","2021-05-06T09:15:00+0530",14650.25,14796.7525,14503.7475,1,"2021-05-06T15:15:00+0530","14733.35",-1,83.1,80,123452.5,6
"5","Reds Rocket","%5ENSEI","2021-06-25T09:15:00+0530",15822.25,15980.4725,15664.0275,1,"2021-06-25T15:15:00+0530","15867.95",-1,45.7,78,127017.1,6
"6","Reds Rocket","%5ENSEI","2021-07-27T12:30:00+0530",15793.1,15635.169,15951.031,-1,"2021-07-27T15:15:00+0530","15739.5",1,53.6,80,131305.1,2.75
"7","Reds Rocket","%5ENSEI","2021-08-09T13:25:00+0530",16217.3,16055.127,16379.473,-1,"2021-08-09T15:15:00+0530","16255.2",1,-37.9,81,128235.2,1.83333333333333
"8","Reds Rocket","%5ENSEI","2021-09-13T10:00:00+0530",17286.3,17113.437,17459.163,-1,"2021-09-13T15:15:00+0530","17351.65",1,-65.35,74,123399.3,5.25
"9","Reds Rocket","%5ENSEI","2021-10-08T09:15:00+0530",17865.6,18044.256,17686.944,1,"2021-10-08T15:15:00+0530","17898",-1,32.4,69,125634.9,6
"10","Reds Rocket","%5ENSEI","2021-11-08T09:20:00+0530",17865.6,17686.944,18044.256,-1,"2021-11-08T13:40:00+0530","18060",1,-194.4,70,112026.9,4.33333333333333
"11","Reds Rocket","%5ENSEI","2021-12-02T09:15:00+0530",17225.45,17397.7045,17053.1955,1,"2021-12-02T15:00:00+0530","17398.15",-1,172.7,65,123252.4,5.75
"12","Reds Rocket","%5ENSEI","2021-12-13T09:15:00+0530",17625.7,17801.957,17449.443,1,"2021-12-13T12:30:00+0530","17443.15",-1,-182.55,70,110473.9,3.25
"13","Reds Rocket","%5ENSEI","2022-03-03T09:15:00+0530",16723.95,16891.1895,16556.7105,1,"2022-03-03T12:30:00+0530","16537.55",-1,-186.4,66,98171.5,3.25
