"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Sweths Violation","%5ENSEBANK","2021-01-12 09:35:00+05:30",31874.95,32193.6995,31556.2005,1,"2021-01-12 12:25:00+05:30","32207.95",-1,333,31,110323,10200
"2","Sweths Violation","%5ENSEBANK","2021-02-03 10:25:00+05:30",34580.45,34926.2545,34234.6455,1,"2021-02-03 15:15:00+05:30","34777.3",-1,196.85,32,116622.2,17400
"3","Sweths Violation","%5ENSEBANK","2021-02-05 14:35:00+05:30",35584.05,35228.2095,35939.8905,-1,"2021-02-05 15:15:00+05:30","35580.55",1,3.5,33,116737.7,2400
"4","Sweths Violation","%5ENSEBANK","2021-02-08 12:15:00+05:30",35925.15,35565.8985,36284.4015,-1,"2021-02-08 15:15:00+05:30","35978.3",1,-53.15,32,115036.9,10800
"5","Sweths Violation","%5ENSEBANK","2021-02-12 09:35:00+05:30",35707,35349.93,36064.07,-1,"2021-02-12 10:45:00+05:30","36083.8",1,-376.8,32,102979.3,4200
"6","Sweths Violation","%5ENSEBANK","2021-02-16 09:50:00+05:30",37272.15,36899.4285,37644.8715,-1,"2021-02-16 13:05:00+05:30","36898.2",1,373.95,28,113449.9,11700
"7","Sweths Violation","%5ENSEBANK","2021-02-19 09:50:00+05:30",36398.25,36762.2325,36034.2675,1,"2021-02-19 14:00:00+05:30","35926.2",-1,-472.05,31,98816.35,15000
"8","Sweths Violation","%5ENSEBANK","2021-02-23 10:30:00+05:30",35588.3,35944.183,35232.417,1,"2021-02-23 11:35:00+05:30","35183.6",-1,-404.7,28,87484.75,3900
"9","Sweths Violation","%5ENSEBANK","2021-02-25 13:20:00+05:30",36720.1,36352.899,37087.301,-1,"2021-02-25 15:15:00+05:30","36530.4",1,189.7,24,92037.55,6900
"10","Sweths Violation","%5ENSEBANK","2021-03-04 09:45:00+05:30",35548.5,35193.015,35903.985,-1,"2021-03-04 11:20:00+05:30","35926.75",1,-378.25,26,82203.05,5700
"11","Sweths Violation","%5ENSEBANK","2021-03-17 11:25:00+05:30",35012.4,35362.524,34662.276,1,"2021-03-17 12:35:00+05:30","34646.75",-1,-365.65,23,73793.1,4200
"12","Sweths Violation","%5ENSEBANK","2021-03-25 14:45:00+05:30",33463.1,33797.731,33128.469,1,"2021-03-25 15:00:00+05:30","33063.4",-1,-399.7,22,64999.7,900
"13","Sweths Violation","%5ENSEBANK","2021-04-06 09:35:00+05:30",32973.55,33303.2855,32643.8145,1,"2021-04-06 10:15:00+05:30","32620.9",-1,-352.65,20,57946.7,2400
"14","Sweths Violation","%5ENSEBANK","2021-04-08 09:45:00+05:30",33145.85,32814.3915,33477.3085,-1,"2021-04-08 14:35:00+05:30","32778.55",1,367.3,17,64190.8,17400
"15","Sweths Violation","%5ENSEBANK","2021-04-09 09:40:00+05:30",32660.2,32986.802,32333.598,1,"2021-04-09 15:15:00+05:30","32479.65",-1,-180.55,20,60579.8,20100
"16","Sweths Violation","%5ENSEBANK","2021-04-29 09:45:00+05:30",33861.1,33522.489,34199.711,-1,"2021-04-29 09:55:00+05:30","33480.25",1,380.85,18,67435.1,600
"17","Sweths Violation","%5ENSEBANK","2021-05-04 13:10:00+05:30",32599.55,32273.5545,32925.5455,-1,"2021-05-04 14:40:00+05:30","32266.7",1,332.85,21,74424.95,5400
"18","Sweths Violation","%5ENSEBANK","2021-05-07 10:35:00+05:30",33032.6,32702.274,33362.926,-1,"2021-05-07 15:15:00+05:30","32881.3",1,151.3,23,77904.85,16800
"19","Sweths Violation","%5ENSEBANK","2021-05-24 09:40:00+05:30",34823.3,34475.067,35171.533,-1,"2021-05-24 14:45:00+05:30","35201.05",1,-377.75,22,69594.35,18300
"20","Sweths Violation","%5ENSEBANK","2021-05-26 10:40:00+05:30",34792.2,35140.122,34444.278,1,"2021-05-26 15:15:00+05:30","34705.65",-1,-86.55,20,67863.35,16500
"21","Sweths Violation","%5ENSEBANK","2021-06-01 09:40:00+05:30",35663.9,36020.539,35307.261,1,"2021-06-01 10:20:00+05:30","35282.7",-1,-381.2,19,60620.55,2400
"22","Sweths Violation","%5ENSEBANK","2021-06-04 09:35:00+05:30",35767.7,36125.377,35410.023,1,"2021-06-04 11:10:00+05:30","35397",-1,-370.7,17,54318.65,5700
"23","Sweths Violation","%5ENSEBANK","2021-06-09 09:35:00+05:30",35258.1,35610.681,34905.519,1,"2021-06-09 13:10:00+05:30","34890.5",-1,-367.6,15,48804.65,12900
"24","Sweths Violation","%5ENSEBANK","2021-06-14 14:40:00+05:30",34966.85,35316.5185,34617.1815,1,"2021-06-14 15:15:00+05:30","34971.25",-1,4.4,14,48866.25,2100
"25","Sweths Violation","%5ENSEBANK","2021-06-17 14:10:00+05:30",34549.75,34204.2525,34895.2475,-1,"2021-06-17 15:15:00+05:30","34599.25",1,-49.5,14,48173.25,3900
"26","Sweths Violation","%5ENSEBANK","2021-07-08 12:05:00+05:30",35574.25,35218.5075,35929.9925,-1,"2021-07-08 14:25:00+05:30","35203.5",1,370.75,14,53363.75,8400
