"","Strategy","Stock","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","time_diff"
"1","Sweths Violation","%5ENSEI","2020-12-29T10:45:00+0530",13893.55,13754.6145,14032.4855,-1,"2020-12-29T15:15:00+0530","13928.3",1,-34.75,72,97498,270
"2","Sweths Violation","%5ENSEI","2020-12-30T15:05:00+0530",13987.95,14127.8295,13848.0705,1,"2020-12-30T15:15:00+0530","13988.75",-1,0.8,70,97554,10
"3","Sweths Violation","%5ENSEI","2021-01-08T10:20:00+0530",14266.25,14408.9125,14123.5875,1,"2021-01-08T15:15:00+0530","14358.5",-1,92.25,68,103827,295
"4","Sweths Violation","%5ENSEI","2021-01-11T14:35:00+0530",14479.65,14624.4465,14334.8535,1,"2021-01-11T15:15:00+0530","14487.2",-1,7.55,72,104370.6,40
"5","Sweths Violation","%5ENSEI","2021-01-19T09:40:00+0530",14368.4,14224.716,14512.084,-1,"2021-01-19T13:55:00+0530","14512.3",1,-143.9,73,93865.9,255
"6","Sweths Violation","%5ENSEI","2021-02-03T10:15:00+0530",14777.7,14925.477,14629.923,1,"2021-02-03T15:15:00+0530","14794.05",-1,16.35,64,94912.3,300
"7","Sweths Violation","%5ENSEI","2021-02-12T13:45:00+0530",15179.75,15027.9525,15331.5475,-1,"2021-02-12T15:15:00+0530","15160.7",1,19.05,63,96112.45,90
"8","Sweths Violation","%5ENSEI","2021-02-16T11:20:00+0530",15367.3,15213.627,15520.973,-1,"2021-02-16T15:15:00+0530","15303.15",1,64.15,63,100153.9,235
"9","Sweths Violation","%5ENSEI","2021-02-23T10:20:00+0530",14800.8,14948.808,14652.792,1,"2021-02-23T15:15:00+0530","14726.4",-1,-74.4,68,95094.7,295
"10","Sweths Violation","%5ENSEI","2021-03-03T10:30:00+0530",15067.1,15217.771,14916.429,1,"2021-03-03T14:45:00+0530","15220.85",-1,153.75,63,104780.95,255
"11","Sweths Violation","%5ENSEI","2021-03-04T09:45:00+0530",14988.1,14838.219,15137.981,-1,"2021-03-04T11:15:00+0530","15149.9",1,-161.8,70,93454.95,90
"12","Sweths Violation","%5ENSEI","2021-03-08T10:40:00+0530",14984.45,14834.6055,15134.2945,-1,"2021-03-08T15:15:00+0530","14961.8",1,22.65,62,94859.25,275
"13","Sweths Violation","%5ENSEI","2021-03-09T10:40:00+0530",15049.75,14899.2525,15200.2475,-1,"2021-03-09T15:15:00+0530","15109.15",1,-59.4,63,91117.05,275
"14","Sweths Violation","%5ENSEI","2021-03-19T10:05:00+0530",14507.55,14652.6255,14362.4745,1,"2021-03-19T13:55:00+0530","14669.1",-1,161.55,63,101294.7,230
"15","Sweths Violation","%5ENSEI","2021-03-22T09:45:00+0530",14740.6,14888.006,14593.194,1,"2021-03-22T15:15:00+0530","14760.1",-1,19.5,69,102640.2,330
"16","Sweths Violation","%5ENSEI","2021-03-26T11:35:00+0530",14532.45,14677.7745,14387.1255,1,"2021-03-26T15:15:00+0530","14505.3",-1,-27.15,71,100712.55,220
"17","Sweths Violation","%5ENSEI","2021-04-06T09:35:00+0530",14747.95,14895.4295,14600.4705,1,"2021-04-06T15:15:00+0530","14695",-1,-52.95,68,97111.95,340
"18","Sweths Violation","%5ENSEI","2021-04-08T14:55:00+0530",14841.9,14693.481,14990.319,-1,"2021-04-08T15:15:00+0530","14865.85",1,-23.95,65,95555.2,20
"19","Sweths Violation","%5ENSEI","2021-04-09T10:00:00+0530",14886.85,15035.7185,14737.9815,1,"2021-04-09T15:15:00+0530","14844.15",-1,-42.7,64,92822.4,315
"20","Sweths Violation","%5ENSEI","2021-04-22T09:40:00+0530",14246.95,14389.4195,14104.4805,1,"2021-04-22T13:50:00+0530","14391.1",-1,144.15,65,102192.15,250
"21","Sweths Violation","%5ENSEI","2021-04-23T14:25:00+0530",14313.2,14170.068,14456.332,-1,"2021-04-23T15:15:00+0530","14340.85",1,-27.65,71,100229,50
"22","Sweths Violation","%5ENSEI","2021-04-29T09:45:00+0530",14957.6,14808.024,15107.176,-1,"2021-04-29T15:15:00+0530","14885.95",1,71.65,67,105029.55,330
"23","Sweths Violation","%5ENSEI","2021-05-07T10:40:00+0530",14807.65,14659.5735,14955.7265,-1,"2021-05-07T15:15:00+0530","14813.2",1,-5.55,71,104635.5,275
"24","Sweths Violation","%5ENSEI","2021-05-19T13:35:00+0530",15037.95,14887.5705,15188.3295,-1,"2021-05-19T15:15:00+0530","15019.75",1,18.2,70,105909.5,100
"25","Sweths Violation","%5ENSEI","2021-05-24T09:45:00+0530",15194.3,15042.357,15346.243,-1,"2021-05-24T15:15:00+0530","15182.05",1,12.25,70,106767,330
"26","Sweths Violation","%5ENSEI","2021-05-26T10:20:00+0530",15262.55,15415.1755,15109.9245,1,"2021-05-26T15:15:00+0530","15311.1",-1,48.55,70,110165.5,295
"27","Sweths Violation","%5ENSEI","2021-05-27T11:25:00+0530",15347.4,15500.874,15193.926,1,"2021-05-27T15:15:00+0530","15343.8",-1,-3.6,72,109906.3,230
"28","Sweths Violation","%5ENSEI","2021-06-02T09:55:00+0530",15508.45,15353.3655,15663.5345,-1,"2021-06-02T15:15:00+0530","15573.05",1,-64.6,71,105319.7,320
"29","Sweths Violation","%5ENSEI","2021-06-17T14:20:00+0530",15626,15469.74,15782.26,-1,"2021-06-17T15:15:00+0530","15695.45",1,-69.45,67,100666.55,55
"30","Sweths Violation","%5ENSEI","2021-06-30T14:00:00+0530",15776.85,15619.0815,15934.6185,-1,"2021-06-30T15:15:00+0530","15711.95",1,64.9,64,104820.15,75
"31","Sweths Violation","%5ENSEI","2021-07-02T13:00:00+0530",15706.3,15863.363,15549.237,1,"2021-07-02T15:15:00+0530","15726",-1,19.7,67,106140.05,135
"32","Sweths Violation","%5ENSEI","2021-07-06T15:10:00+0530",15806.5,15648.435,15964.565,-1,"2021-07-06T15:15:00+0530","15801.8",1,4.7,67,106454.95,5
"33","Sweths Violation","%5ENSEI","2021-07-08T09:50:00+0530",15850.25,15691.7475,16008.7525,-1,"2021-07-08T14:35:00+0530","15683.4",1,166.85,67,117633.9,285
"34","Sweths Violation","%5ENSEI","2021-07-13T12:55:00+0530",15795.7,15953.657,15637.743,1,"2021-07-13T15:15:00+0530","15818.9",-1,23.2,74,119350.7,140
"35","Sweths Violation","%5ENSEI","2021-07-14T10:35:00+0530",15812.05,15970.1705,15653.9295,1,"2021-07-14T15:15:00+0530","15863.85",-1,51.8,75,123235.7,280
"36","Sweths Violation","%5ENSEI","2021-07-19T13:05:00+0530",15732.95,15575.6205,15890.2795,-1,"2021-07-19T15:15:00+0530","15748.85",1,-15.9,78,121995.5,130
"37","Sweths Violation","%5ENSEI","2021-08-05T12:45:00+0530",16307.25,16470.3225,16144.1775,1,"2021-08-05T15:15:00+0530","16292.2",-1,-15.05,75,120866.75,150
