"","Strategy","StartTime","price","Target","StopLoss","initial_sign","achieved_ts","hit_price","final_sign","price_diff","QTY","corrected_capital","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1","Sweths Violation","2021-01-12 09:35:00+05:30",31874.95,32193.6995,31556.2005,1,"2021-01-12 12:25:00+05:30",32207.95,-1,333,31,110323,32041.4333333333,31794.42,32245.92,31589.93,32492.93,32944.43,31138.43,32147.99,32213.91,32267.18,32320.46,32492.93,31934.88,31868.96,31815.68,31762.41,31589.93,31704.90219106,77.1929212209616
"2","Sweths Violation","2021-02-03 10:25:00+05:30",34580.45,34926.2545,34234.6455,1,"2021-02-03 15:15:00+05:30",34777.3,-1,196.85,32,116622.2,34167.85,33683.2,34752.55,33098.5,35237.2,36306.55,32029.15,34420.22,34576.34,34702.52,34828.71,35237.2,33915.48,33759.36,33633.18,33506.99,33098.5,32532.0379371929,74.7530089853558
"3","Sweths Violation","2021-02-05 14:35:00+05:30",35584.05,35228.2095,35939.8905,-1,"2021-02-05 15:15:00+05:30",35580.55,1,3.5,33,116737.7,34998.95,34584.75,35759,33824.7,36173.2,37347.45,32650.45,35276.07,35447.51,35586.08,35724.64,36173.2,34721.83,34550.39,34411.83,34273.26,33824.7,33518.1857265506,78.464201377641
"4","Sweths Violation","2021-02-08 12:15:00+05:30",35925.15,35565.8985,36284.4015,-1,"2021-02-08 15:15:00+05:30",35978.3,1,-53.15,32,115036.9,35938.2333333333,35261.27,36331.47,34868.03,37008.43,38078.63,33797.83,36190.8,36347.05,36473.33,36599.62,37008.43,35685.67,35529.42,35403.13,35276.85,34868.03,33966.4519580869,79.763333812632
"5","Sweths Violation","2021-02-12 09:35:00+05:30",35707,35349.93,36064.07,-1,"2021-02-12 10:45:00+05:30",36083.8,1,-376.8,32,102979.3,35778.2833333333,35547.12,35983.27,35342.13,36214.43,36650.58,34905.98,35881.21,35944.89,35996.36,36047.82,36214.43,35675.35,35611.67,35560.21,35508.74,35342.13,35050.865248071,77.0283285344481
"6","Sweths Violation","2021-02-16 09:50:00+05:30",37272.15,36899.4285,37644.8715,-1,"2021-02-16 13:05:00+05:30",36898.2,1,373.95,28,113449.9,37053.75,36657.6,37702.4,36008.95,38098.55,39143.35,34964.15,37300.32,37452.86,37576.15,37699.44,38098.55,36807.18,36654.64,36531.35,36408.06,36008.95,35758.656075155,78.8812482709562
"7","Sweths Violation","2021-02-19 09:50:00+05:30",36398.25,36762.2325,36034.2675,1,"2021-02-19 14:00:00+05:30",35926.2,-1,-472.05,31,98816.35,36687.7333333333,36266.72,37008.02,35946.43,37429.03,38170.33,35205.13,36862.68,36970.91,37058.38,37145.86,37429.03,36512.79,36404.56,36317.08,36229.61,35946.43,36037.2106527333,58.6238267586436
"8","Sweths Violation","2021-02-23 10:30:00+05:30",35588.3,35944.183,35232.417,1,"2021-02-23 11:35:00+05:30",35183.6,-1,-404.7,28,87484.75,35494.55,34860.2,35891.55,34463.2,36525.9,37557.25,33431.85,35737.95,35888.53,36010.23,36131.92,36525.9,35251.15,35100.57,34978.88,34857.18,34463.2,35753.8558914991,49.7792006826469
"9","Sweths Violation","2021-02-25 13:20:00+05:30",36720.1,36352.899,37087.301,-1,"2021-02-25 15:15:00+05:30",36530.4,1,189.7,24,92037.55,36026.8666666667,35486.08,36993.08,34519.87,37533.87,39040.87,33012.87,36382.52,36602.54,36780.37,36958.19,37533.87,35671.21,35451.19,35273.37,35095.54,34519.87,36002.3283240614,63.155337450186
"10","Sweths Violation","2021-03-04 09:45:00+05:30",35548.5,35193.015,35903.985,-1,"2021-03-04 11:20:00+05:30",35926.75,1,-378.25,26,82203.05,36131.25,35807.35,36691.95,35246.65,37015.85,37900.45,34362.05,36340.02,36469.17,36573.55,36677.93,37015.85,35922.48,35793.33,35688.95,35584.57,35246.65,35781.4796474874,53.0446184571993
