,name,value,Check
1,strikePrice,24000,FALSE
2,expiryDate,30-Sep-21,FALSE
3,CE.strikePrice,24000,FALSE
4,CE.expiryDate,30-Sep-21,FALSE
5,CE.underlying,BANKNIFTY,FALSE
6,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE24000.00,FALSE
7,CE.openInterest,0,FALSE
8,CE.changeinOpenInterest,0,FALSE
9,CE.pchangeinOpenInterest,0,FALSE
10,CE.totalTradedVolume,0,FALSE
11,CE.impliedVolatility,0,FALSE
12,CE.lastPrice,0,FALSE
13,CE.change,0,FALSE
14,CE.pChange,0,FALSE
15,CE.totalBuyQuantity,2400,FALSE
16,CE.totalSellQuantity,2400,FALSE
17,CE.bidQty,2400,FALSE
18,CE.bidprice,9484.9,FALSE
19,CE.askQty,2400,FALSE
20,CE.askPrice,12259.25,FALSE
21,CE.underlyingValue,34415.45,FALSE
22,PE.strikePrice,24000,FALSE
23,PE.expiryDate,30-Sep-21,FALSE
24,PE.underlying,BANKNIFTY,FALSE
25,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE24000.00,FALSE
26,PE.openInterest,0,FALSE
27,PE.changeinOpenInterest,0,FALSE
28,PE.pchangeinOpenInterest,0,FALSE
29,PE.totalTradedVolume,0,FALSE
30,PE.impliedVolatility,0,FALSE
31,PE.lastPrice,0,FALSE
32,PE.change,0,FALSE
33,PE.pChange,0,FALSE
34,PE.totalBuyQuantity,2000,FALSE
35,PE.totalSellQuantity,0,FALSE
36,PE.bidQty,2000,FALSE
37,PE.bidprice,1.05,FALSE
38,PE.askQty,0,FALSE
39,PE.askPrice,0,FALSE
40,PE.underlyingValue,34415.45,TRUE
41,strikePrice,24000,FALSE
42,expiryDate,30-Dec-21,FALSE
43,PE.strikePrice,24000,FALSE
44,PE.expiryDate,30-Dec-21,FALSE
45,PE.underlying,BANKNIFTY,FALSE
46,PE.identifier,OPTIDXBANKNIFTY30-12-2021PE24000.00,FALSE
47,PE.openInterest,17,FALSE
48,PE.changeinOpenInterest,0,FALSE
49,PE.pchangeinOpenInterest,0,FALSE
50,PE.totalTradedVolume,0,FALSE
51,PE.impliedVolatility,0,FALSE
52,PE.lastPrice,190,FALSE
53,PE.change,0,FALSE
54,PE.pChange,0,FALSE
55,PE.totalBuyQuantity,1050,FALSE
56,PE.totalSellQuantity,0,FALSE
57,PE.bidQty,50,FALSE
58,PE.bidprice,26,FALSE
59,PE.askQty,0,FALSE
60,PE.askPrice,0,FALSE
61,PE.underlyingValue,34415.45,FALSE
62,strikePrice,25000,FALSE
63,expiryDate,30-Sep-21,FALSE
64,PE.strikePrice,25000,FALSE
65,PE.expiryDate,30-Sep-21,FALSE
66,PE.underlying,BANKNIFTY,FALSE
67,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE25000.00,FALSE
68,PE.openInterest,0,FALSE
69,PE.changeinOpenInterest,0,FALSE
70,PE.pchangeinOpenInterest,0,FALSE
71,PE.totalTradedVolume,0,FALSE
72,PE.impliedVolatility,0,FALSE
73,PE.lastPrice,0,FALSE
74,PE.change,0,FALSE
75,PE.pChange,0,FALSE
76,PE.totalBuyQuantity,2000,FALSE
77,PE.totalSellQuantity,0,FALSE
78,PE.bidQty,2000,FALSE
79,PE.bidprice,1.05,FALSE
80,PE.askQty,0,TRUE
81,PE.askPrice,0,FALSE
82,PE.underlyingValue,34415.45,FALSE
83,CE.strikePrice,25000,FALSE
84,CE.expiryDate,30-Sep-21,FALSE
85,CE.underlying,BANKNIFTY,FALSE
86,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE25000.00,FALSE
87,CE.openInterest,0,FALSE
88,CE.changeinOpenInterest,0,FALSE
89,CE.pchangeinOpenInterest,0,FALSE
90,CE.totalTradedVolume,0,FALSE
91,CE.impliedVolatility,0,FALSE
92,CE.lastPrice,0,FALSE
93,CE.change,0,FALSE
94,CE.pChange,0,FALSE
95,CE.totalBuyQuantity,2400,FALSE
96,CE.totalSellQuantity,2400,FALSE
97,CE.bidQty,2400,FALSE
98,CE.bidprice,8582.15,FALSE
99,CE.askQty,2400,FALSE
100,CE.askPrice,11156.75,FALSE
101,CE.underlyingValue,34415.45,FALSE
102,strikePrice,25500,FALSE
103,expiryDate,30-Sep-21,FALSE
104,CE.strikePrice,25500,FALSE
105,CE.expiryDate,30-Sep-21,FALSE
106,CE.underlying,BANKNIFTY,FALSE
107,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE25500.00,FALSE
108,CE.openInterest,0,FALSE
109,CE.changeinOpenInterest,0,FALSE
110,CE.pchangeinOpenInterest,0,FALSE
111,CE.totalTradedVolume,0,FALSE
112,CE.impliedVolatility,0,FALSE
113,CE.lastPrice,0,FALSE
114,CE.change,0,FALSE
115,CE.pChange,0,FALSE
116,CE.totalBuyQuantity,2400,FALSE
117,CE.totalSellQuantity,2400,FALSE
118,CE.bidQty,2400,FALSE
119,CE.bidprice,8130.9,FALSE
120,CE.askQty,2400,TRUE
121,CE.askPrice,10440.35,FALSE
122,CE.underlyingValue,34415.45,FALSE
123,PE.strikePrice,25500,FALSE
124,PE.expiryDate,30-Sep-21,FALSE
125,PE.underlying,BANKNIFTY,FALSE
126,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE25500.00,FALSE
127,PE.openInterest,0,FALSE
128,PE.changeinOpenInterest,0,FALSE
129,PE.pchangeinOpenInterest,0,FALSE
130,PE.totalTradedVolume,0,FALSE
131,PE.impliedVolatility,0,FALSE
132,PE.lastPrice,0,FALSE
133,PE.change,0,FALSE
134,PE.pChange,0,FALSE
135,PE.totalBuyQuantity,2000,FALSE
136,PE.totalSellQuantity,0,FALSE
137,PE.bidQty,2000,FALSE
138,PE.bidprice,1.05,FALSE
139,PE.askQty,0,FALSE
140,PE.askPrice,0,FALSE
141,PE.underlyingValue,34415.45,FALSE
142,strikePrice,26000,FALSE
143,expiryDate,30-Sep-21,FALSE
144,CE.strikePrice,26000,FALSE
145,CE.expiryDate,30-Sep-21,FALSE
146,CE.underlying,BANKNIFTY,FALSE
147,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE26000.00,FALSE
148,CE.openInterest,0,FALSE
149,CE.changeinOpenInterest,0,FALSE
150,CE.pchangeinOpenInterest,0,FALSE
151,CE.totalTradedVolume,0,FALSE
152,CE.impliedVolatility,0,FALSE
153,CE.lastPrice,0,FALSE
154,CE.change,0,FALSE
155,CE.pChange,0,FALSE
156,CE.totalBuyQuantity,2400,FALSE
157,CE.totalSellQuantity,2400,FALSE
158,CE.bidQty,2400,FALSE
159,CE.bidprice,7679.9,FALSE
160,CE.askQty,2400,TRUE
161,CE.askPrice,9922.6,FALSE
162,CE.underlyingValue,34415.45,FALSE
163,PE.strikePrice,26000,FALSE
164,PE.expiryDate,30-Sep-21,FALSE
165,PE.underlying,BANKNIFTY,FALSE
166,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE26000.00,FALSE
167,PE.openInterest,0,FALSE
168,PE.changeinOpenInterest,0,FALSE
169,PE.pchangeinOpenInterest,0,FALSE
170,PE.totalTradedVolume,0,FALSE
171,PE.impliedVolatility,0,FALSE
172,PE.lastPrice,0,FALSE
173,PE.change,0,FALSE
174,PE.pChange,0,FALSE
175,PE.totalBuyQuantity,2000,FALSE
176,PE.totalSellQuantity,0,FALSE
177,PE.bidQty,2000,FALSE
178,PE.bidprice,1.05,FALSE
179,PE.askQty,0,FALSE
180,PE.askPrice,0,FALSE
181,PE.underlyingValue,34415.45,FALSE
182,strikePrice,27000,FALSE
183,expiryDate,30-Sep-21,FALSE
184,PE.strikePrice,27000,FALSE
185,PE.expiryDate,30-Sep-21,FALSE
186,PE.underlying,BANKNIFTY,FALSE
187,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE27000.00,FALSE
188,PE.openInterest,0,FALSE
189,PE.changeinOpenInterest,0,FALSE
190,PE.pchangeinOpenInterest,0,FALSE
191,PE.totalTradedVolume,0,FALSE
192,PE.impliedVolatility,0,FALSE
193,PE.lastPrice,0,FALSE
194,PE.change,0,FALSE
195,PE.pChange,0,FALSE
196,PE.totalBuyQuantity,2000,FALSE
197,PE.totalSellQuantity,0,FALSE
198,PE.bidQty,2000,FALSE
199,PE.bidprice,1.05,FALSE
200,PE.askQty,0,TRUE
201,PE.askPrice,0,FALSE
202,PE.underlyingValue,34415.45,FALSE
203,CE.strikePrice,27000,FALSE
204,CE.expiryDate,30-Sep-21,FALSE
205,CE.underlying,BANKNIFTY,FALSE
206,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE27000.00,FALSE
207,CE.openInterest,0,FALSE
208,CE.changeinOpenInterest,0,FALSE
209,CE.pchangeinOpenInterest,0,FALSE
210,CE.totalTradedVolume,0,FALSE
211,CE.impliedVolatility,0,FALSE
212,CE.lastPrice,0,FALSE
213,CE.change,0,FALSE
214,CE.pChange,0,FALSE
215,CE.totalBuyQuantity,2400,FALSE
216,CE.totalSellQuantity,2400,FALSE
217,CE.bidQty,2400,FALSE
218,CE.bidprice,6777.4,FALSE
219,CE.askQty,2400,FALSE
220,CE.askPrice,8852.45,FALSE
221,CE.underlyingValue,34415.45,FALSE
222,strikePrice,28000,FALSE
223,expiryDate,30-Sep-21,FALSE
224,CE.strikePrice,28000,FALSE
225,CE.expiryDate,30-Sep-21,FALSE
226,CE.underlying,BANKNIFTY,FALSE
227,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE28000.00,FALSE
228,CE.openInterest,4,FALSE
229,CE.changeinOpenInterest,4,FALSE
230,CE.pchangeinOpenInterest,0,FALSE
231,CE.totalTradedVolume,4,FALSE
232,CE.impliedVolatility,0,FALSE
233,CE.lastPrice,6600,FALSE
234,CE.change,-619.9,FALSE
235,CE.pChange,-8.585991496,FALSE
236,CE.totalBuyQuantity,3575,FALSE
237,CE.totalSellQuantity,2750,FALSE
238,CE.bidQty,400,FALSE
239,CE.bidprice,6600.05,FALSE
240,CE.askQty,300,TRUE
241,CE.askPrice,6750,FALSE
242,CE.underlyingValue,34415.45,FALSE
243,PE.strikePrice,28000,FALSE
244,PE.expiryDate,30-Sep-21,FALSE
245,PE.underlying,BANKNIFTY,FALSE
246,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE28000.00,FALSE
247,PE.openInterest,0,FALSE
248,PE.changeinOpenInterest,0,FALSE
249,PE.pchangeinOpenInterest,0,FALSE
250,PE.totalTradedVolume,0,FALSE
251,PE.impliedVolatility,0,FALSE
252,PE.lastPrice,0,FALSE
253,PE.change,0,FALSE
254,PE.pChange,0,FALSE
255,PE.totalBuyQuantity,5500,FALSE
256,PE.totalSellQuantity,75,FALSE
257,PE.bidQty,1000,FALSE
258,PE.bidprice,3,FALSE
259,PE.askQty,25,FALSE
260,PE.askPrice,99.9,FALSE
261,PE.underlyingValue,34415.45,FALSE
262,strikePrice,28200,FALSE
263,expiryDate,29-Jul-21,FALSE
264,PE.strikePrice,28200,FALSE
265,PE.expiryDate,29-Jul-21,FALSE
266,PE.underlying,BANKNIFTY,FALSE
267,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28200.00,FALSE
268,PE.openInterest,1889,FALSE
269,PE.changeinOpenInterest,359,FALSE
270,PE.pchangeinOpenInterest,23.46405229,FALSE
271,PE.totalTradedVolume,1709,FALSE
272,PE.impliedVolatility,48.11,FALSE
273,PE.lastPrice,2.75,FALSE
274,PE.change,-0.25,FALSE
275,PE.pChange,-8.333333333,FALSE
276,PE.totalBuyQuantity,44350,FALSE
277,PE.totalSellQuantity,13075,FALSE
278,PE.bidQty,2500,FALSE
279,PE.bidprice,2.7,FALSE
280,PE.askQty,200,TRUE
281,PE.askPrice,2.95,FALSE
282,PE.underlyingValue,34415.45,FALSE
283,CE.strikePrice,28200,FALSE
284,CE.expiryDate,29-Jul-21,FALSE
285,CE.underlying,BANKNIFTY,FALSE
286,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28200.00,FALSE
287,CE.openInterest,145,FALSE
288,CE.changeinOpenInterest,0,FALSE
289,CE.pchangeinOpenInterest,0,FALSE
290,CE.totalTradedVolume,2,FALSE
291,CE.impliedVolatility,59.03,FALSE
292,CE.lastPrice,6300,FALSE
293,CE.change,-1600,FALSE
294,CE.pChange,-20.25316456,FALSE
295,CE.totalBuyQuantity,5975,FALSE
296,CE.totalSellQuantity,4800,FALSE
297,CE.bidQty,250,FALSE
298,CE.bidprice,6228.25,FALSE
299,CE.askQty,1400,FALSE
300,CE.askPrice,6396.65,FALSE
301,CE.underlyingValue,34415.45,FALSE
302,strikePrice,28300,FALSE
303,expiryDate,29-Jul-21,FALSE
304,PE.strikePrice,28300,FALSE
305,PE.expiryDate,29-Jul-21,FALSE
306,PE.underlying,BANKNIFTY,FALSE
307,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28300.00,FALSE
308,PE.openInterest,0,FALSE
309,PE.changeinOpenInterest,0,FALSE
310,PE.pchangeinOpenInterest,0,FALSE
311,PE.totalTradedVolume,0,FALSE
312,PE.impliedVolatility,0,FALSE
313,PE.lastPrice,0,FALSE
314,PE.change,0,FALSE
315,PE.pChange,0,FALSE
316,PE.totalBuyQuantity,0,FALSE
317,PE.totalSellQuantity,0,FALSE
318,PE.bidQty,0,FALSE
319,PE.bidprice,0,FALSE
320,PE.askQty,0,TRUE
321,PE.askPrice,0,FALSE
322,PE.underlyingValue,34415.45,FALSE
323,CE.strikePrice,28300,FALSE
324,CE.expiryDate,29-Jul-21,FALSE
325,CE.underlying,BANKNIFTY,FALSE
326,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28300.00,FALSE
327,CE.openInterest,0,FALSE
328,CE.changeinOpenInterest,0,FALSE
329,CE.pchangeinOpenInterest,0,FALSE
330,CE.totalTradedVolume,0,FALSE
331,CE.impliedVolatility,0,FALSE
332,CE.lastPrice,0,FALSE
333,CE.change,0,FALSE
334,CE.pChange,0,FALSE
335,CE.totalBuyQuantity,4450,FALSE
336,CE.totalSellQuantity,3150,FALSE
337,CE.bidQty,1275,FALSE
338,CE.bidprice,5987.6,FALSE
339,CE.askQty,750,FALSE
340,CE.askPrice,7074.4,FALSE
341,CE.underlyingValue,34415.45,FALSE
342,strikePrice,28400,FALSE
343,expiryDate,29-Jul-21,FALSE
344,CE.strikePrice,28400,FALSE
345,CE.expiryDate,29-Jul-21,FALSE
346,CE.underlying,BANKNIFTY,FALSE
347,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28400.00,FALSE
348,CE.openInterest,0,FALSE
349,CE.changeinOpenInterest,0,FALSE
